id,text,timestamp,user_location,latitude,longitude,zipcode,county,city,state,city_state,compound_sentiment,positive_sentiment,negative_sentiment,neutral_sentiment
1143154930842243072,RT @OccupyLacksIQ: @SenWarren @HUDgov Your wrong. HUD’s role isn’t to support people of color.  It’s to support Americans regardless of col…,Mon Jun 24 13:52:28 +0000 2019,United States,,,,,,,,0.3182,0.204,0.117,0.679
1143154295711457280,RT @meeatme65: @SenWarren @HUDgov That great idea has been tried before and.  Oh yeah the housing market collapsed. Giving people a mortgag…,Mon Jun 24 13:49:57 +0000 2019,United States,,,,,,,,0.765,0.313,0.076,0.612
1143152268482686977,@BigCFinancial @SenWarren @SharylAttkisson @HUDgov You got that right.,Mon Jun 24 13:41:54 +0000 2019,United States,,,,,,,,0.0,0.0,0.0,1.0
1143152011510276097,"RT @BigCFinancial: @SenWarren @SharylAttkisson @HUDgov ""Close the homeownership gap""...weve been down that road before &amp; it led to the hous…",Mon Jun 24 13:40:52 +0000 2019,United States,,,,,,,,0.0,0.0,0.0,1.0
1143135186118463490,"@SenWarren @SharylAttkisson @HUDgov ""Close the homeownership gap""...weve been down that road before &amp; it led to the… https://t.co/9H70vslkJ1",Mon Jun 24 12:34:01 +0000 2019,Michigan,,,,,,,,0.0,0.0,0.0,1.0
1143093325060354049,@SenWarren @HUDgov So all the Democrats do is tell us we're all victims when it's not true. Pathetic.,Mon Jun 24 09:47:40 +0000 2019,United States,,,,,,,,-0.1615,0.132,0.205,0.663
1143064866329989120,@SenWarren @SharylAttkisson @HUDgov What about your past writings on your race? Or Biden’s past sayings on race?,Mon Jun 24 07:54:35 +0000 2019,"Flagstaff, AZ",35.2,-111.8,86001.0,4005.0,flagstaff,az,flagstaff az,0.0,0.0,0.0,1.0
1142855302213177352,The latest The Affordable Housing #AZ Weekly! https://t.co/gzhNWCeSuH Thanks to @lauriewickersh1 @urbaninstitute… https://t.co/8lGXC6lnMF,Sun Jun 23 18:01:51 +0000 2019,Phoenix,,,,,,,,0.4926,0.21,0.0,0.79
1142839865396125697,"@SenWarren @HUDgov Pandering, pandering, pandering...that's all you dens do...",Sun Jun 23 17:00:31 +0000 2019,"Mount Pleasant, TX",33.2,-95.0,75455.0,48159.0,mount pleasant,tx,mount pleasant tx,0.0,0.0,0.0,1.0
1142838660993363968,"@SenWarren @HUDgov Don't act like your not part of that problem. Dems created racism, segregation, block busting as… https://t.co/98QKqdkaxz",Sun Jun 23 16:55:44 +0000 2019,"Mount Pleasant, TX",33.2,-95.0,75455.0,48159.0,mount pleasant,tx,mount pleasant tx,-0.8693,0.072,0.425,0.503
