id,text,timestamp,user_location,latitude,longitude,zipcode,county,city,state,city_state,full_text,compound_sentiment,positive_sentiment,negative_sentiment,neutral_sentiment
1.14324E+18,,Mon Jun 24 19:37:03 +0000 2019,East Bay,37.8794144,-122.1793265,94563,6013,Orinda,CA,Orinda CA,@RepKatiePorter @HUDgov @CFPB I’m EXHAUSTED with all this crap!  What can we do about it?  @SecretaryCarson knows ZERO about HUD. Your questioning was 💯% but now what????? Now what??? Now What???,-0.6776,0,0.19,0.81
1.14324E+18,,Mon Jun 24 19:23:57 +0000 2019,Canada,,,,,,,,@RepKatiePorter @HUDgov @CFPB These people are @shameless,0,0,0,1
1.14324E+18,,Mon Jun 24 19:17:46 +0000 2019,United States,,,,,,,,"@RepKatiePorter @HUDgov @CFPB Drain the swamp? Joke was on his voters. 
trump and cronies are the swamp.",0.296,0.121,0,0.879
1.14322E+18,,Mon Jun 24 18:15:49 +0000 2019,"Los Angeles, CA",33.97,-118.25,90001,6037,Los Angeles,CA,Los Angeles CA,RT @mychinchilla: Please submit public comment against @HUDgov 's proposed rule change on mixed status families in public housing. If passe…,0.3182,0.103,0,0.897
1.14322E+18,,Mon Jun 24 17:57:55 +0000 2019,Los Angeles,,,,,,,,There's still time to speak out against this proposed rule change. Join @LAHomeless by sending a public comment to @HUDgov by July 9th --&gt; https://t.co/sc8BAZcBM1,0.296,0.087,0,0.913
1.14322E+18,,Mon Jun 24 17:53:52 +0000 2019,Los Angeles,,,,,,,,".@HUDgov has proposed a rule change that would kick mixed-status immigrant families out of federally-assisted low-income housing. 

This rule could send 11,000 people in Los Angeles into homelessness.
https://t.co/1AW4DwvB7z",0,0,0,1
1.14321E+18,,Mon Jun 24 17:35:09 +0000 2019,"California, USA",,,,,,,,RT @mychinchilla: Please submit public comment against @HUDgov 's proposed rule change on mixed status families in public housing. If passe…,0.3182,0.103,0,0.897
1.14321E+18,,Mon Jun 24 17:23:16 +0000 2019,"San Francisco, CA",,,94101,,san francisco,ca,san francisco ca,Proud to see my KPMG colleagues work to help @HUDgov modernize its grants dashboard - a project that was recently recognized with a 2019 Federal IT Innovation Award from @MicroStrategy! #KPMGFed #KPMGProud https://t.co/YTuhcJdhRd,0.92,0.36,0,0.64
1.1432E+18,,Mon Jun 24 16:49:19 +0000 2019,"Los Angeles, CA",33.97,-118.25,90001,6037,Los Angeles,CA,Los Angeles CA,"Please submit public comment against @HUDgov 's proposed rule change on mixed status families in public housing. If passed, this change will put thousands of adults &amp; children on the streets. Read about the proposed change on @LAHomeless 's site  https://t.co/ow3NtU9lPA",0.3182,0.054,0,0.946
1.14319E+18,,Mon Jun 24 15:57:58 +0000 2019,"Santa Ana, California",33.75,-117.86,92701,6059,Santa Ana,CA,Santa Ana CA,RT @fairhousingoc: Yet another assistance animal #FairHousing charge. This time @HUDgov charged the owners of several rental homes in #Otte…,-0.2023,0,0.087,0.913
1.14319E+18,,Mon Jun 24 15:57:36 +0000 2019,United States,,,,,,,,@McCoyMandujano @stclairashley @TPUSA @DeptofDefense @HHSGov @EPA @Interior @USDOT @usedgov @USTreasury @USDOL @CommerceGov @HUDgov Just wait until he finds out about the Israel Lobby,0.0258,0.048,0,0.952
1.14315E+18,,Mon Jun 24 13:52:28 +0000 2019,United States,,,,,,,,RT @OccupyLacksIQ: @SenWarren @HUDgov Your wrong. HUD’s role isn’t to support people of color.  It’s to support Americans regardless of col…,0.3182,0.204,0.117,0.679
1.14315E+18,,Mon Jun 24 13:49:57 +0000 2019,United States,,,,,,,,RT @meeatme65: @SenWarren @HUDgov That great idea has been tried before and.  Oh yeah the housing market collapsed. Giving people a mortgag…,0.765,0.313,0.076,0.612
1.14315E+18,,Mon Jun 24 13:41:54 +0000 2019,United States,,,,,,,,@BigCFinancial @SenWarren @SharylAttkisson @HUDgov You got that right.,0,0,0,1
1.14315E+18,,Mon Jun 24 13:40:52 +0000 2019,United States,,,,,,,,"RT @BigCFinancial: @SenWarren @SharylAttkisson @HUDgov ""Close the homeownership gap""...weve been down that road before &amp; it led to the hous…",0,0,0,1
1.14314E+18,,Mon Jun 24 12:34:01 +0000 2019,Michigan,,,,,,,,"@SenWarren @SharylAttkisson @HUDgov ""Close the homeownership gap""...weve been down that road before &amp; it led to the housing crisis in '08. Sub-prime lending as a %basis on total loans issued was required. This resulted in banks being forced to lend to those who werent qualified in order to lend to those that were.",-0.7964,0,0.124,0.876
1.14309E+18,,Mon Jun 24 09:47:40 +0000 2019,United States,,,,,,,,@SenWarren @HUDgov So all the Democrats do is tell us we're all victims when it's not true. Pathetic.,-0.1615,0.132,0.205,0.663
1.14306E+18,,Mon Jun 24 07:54:35 +0000 2019,"Flagstaff, AZ",35.2,-111.8,86001,4005,Flagstaff,AZ,Flagstaff AZ,@SenWarren @SharylAttkisson @HUDgov What about your past writings on your race? Or Biden’s past sayings on race?,0,0,0,1
1.14286E+18,,Sun Jun 23 18:01:51 +0000 2019,Phoenix,,,,,,,,The latest The Affordable Housing #AZ Weekly! https://t.co/gzhNWCeSuH Thanks to @lauriewickersh1 @urbaninstitute @HUDgov #governance #economy,0.4926,0.186,0,0.814
1.14284E+18,,Sun Jun 23 17:00:31 +0000 2019,"Mount Pleasant, TX",33.2,-95,75455,48159,Mount Pleasant,TX,Mount Pleasant TX,"@SenWarren @HUDgov Pandering, pandering, pandering...that's all you dens do...",0,0,0,1
1.14284E+18,,Sun Jun 23 16:55:44 +0000 2019,"Mount Pleasant, TX",33.2,-95,75455,48159,Mount Pleasant,TX,Mount Pleasant TX,"@SenWarren @HUDgov Don't act like your not part of that problem. Dems created racism, segregation, block busting as well as holding down black America from real opportunities. All the while putting pitty on them. As long as Dems like you are in office, blacks will never have a solid chance. Go away",-0.8557,0.103,0.264,0.633
1.14265E+18,,Sun Jun 23 04:40:01 +0000 2019,Houston TX,29.8384948,-95.4464865,77018,48201,Houston,TX,Houston TX,@ushahmd @SylvesterTurner @hcphtx @EPA @HUDgov Thanks for being there.,0.4404,0.266,0,0.734
1.14263E+18,,Sun Jun 23 03:18:06 +0000 2019,"Anaheim, CA",33.85,-117.96,92801,6059,Anaheim,CA,Anaheim CA,@JoeDeFeliceHUD @homelessadvisor @HUDgov @SecretaryCarson @HUDMidAtlantic When is the next Audit on Non-Profits that help the homeless?,0.4019,0.153,0,0.847
1.14244E+18,,Sat Jun 22 14:49:24 +0000 2019,"Los Angeles, California",33.97,-118.25,90001,6037,Los Angeles,CA,Los Angeles CA,"Panel 1️⃣: Mitigating High Heat Impacts @HUDgov @CSO_LACo @BSSLosAngeles @TreePeople_org @UCLALuskin 

Panel 2️⃣: Living with Freeways @metrolosangeles @KeckMedUSC @lapublichealth @LACity 

#Plan4Health https://t.co/AWLdVziuVk",0,0,0,1
1.1423E+18,,Sat Jun 22 05:05:26 +0000 2019,"Carmel, NY",41.4,-73.7,10512,36079,Carmel,NY,Carmel NY,"RT @Homelessmom_pup: @HUDgov a file has been shared using Link Sharing.
https://t.co/hxcpMlpvzK
(Expires: Jun 22, 2019)",0.6369,0.286,0,0.714
1.14226E+18,,Sat Jun 22 02:24:11 +0000 2019,Work in Boston - Live WMass.,,,,,,,,"RT @LouisianaGov: Great news! Once @HUDgov makes the guidance effective, @RestoreLA_gov will begin the process to help homeowners who have…",0.8805,0.375,0,0.625
1.14224E+18,,Sat Jun 22 01:15:03 +0000 2019,"Denham Springs, LA",30.6,-90.9,70706,22063,Denham Springs,LA,Denham Springs LA,"RT @LouisianaGov: Great news! Once @HUDgov makes the guidance effective, @RestoreLA_gov will begin the process to help homeowners who have…",0.8805,0.375,0,0.625
1.14222E+18,,Sat Jun 22 00:09:01 +0000 2019,"Carmel, NY",41.4,-73.7,10512,36079,Carmel,NY,Carmel NY,"RT @Homelessmom_pup: @HUDgov file has been shared using
https://t.co/4TX2UIkOYR
(Expires: Jun 22, 2019)",0.34,0.167,0,0.833
1.14222E+18,,Sat Jun 22 00:08:43 +0000 2019,United States,,,,,,,,"@HUDgov a file has been shared using Link Sharing.
https://t.co/hxcpMlpvzK
(Expires: Jun 22, 2019)",0.6369,0.321,0,0.679
1.14222E+18,,Sat Jun 22 00:07:44 +0000 2019,United States,,,,,,,,"@HUDgov file has been shared using
https://t.co/4TX2UIkOYR
(Expires: Jun 22, 2019)",0.34,0.194,0,0.806
