id,text,timestamp,user_location,latitude,longitude,zipcode,county,city,state,city_state,full_text,compound_sentiment,positive_sentiment,negative_sentiment,neutral_sentiment
1143592654996946944,,Tue Jun 25 18:51:50 +0000 2019,"Des Moines, IA",,,50307.0,,des moines,ia,des moines ia,"@RepKatiePorter @HUDgov @CFPB Another one of those ""Best People""",0.6369,0.344,0.0,0.656
1143586679631970304,,Tue Jun 25 18:28:05 +0000 2019,San Francisco,,,,,,,,Dozens of Nursing Homes With @HUDgov -Backed Mortgages Have ‘Serious Deficiencies’ https://t.co/eQcPN3qyEI Does this reflects the @USAGov ’s spotty history of monitoring for-profit nursing homes? #elderabuse #eldercare,0.0258,0.041,0.0,0.959
1143567290832773120,,Tue Jun 25 17:11:03 +0000 2019,United States,,,,,,,,@SenWarren @HUDgov What makes you fit to be a Senator?  Lying about your heritage?,-0.3094,0.145,0.218,0.637
1143380682539798528,,Tue Jun 25 04:49:32 +0000 2019,"Los Angeles, CA",33.97,-118.25,90001.0,6037.0,los angeles,ca,los angeles ca,"@RepKatiePorter @HUDgov @CFPB Katie you're my hero... but do you really expect anything different from the ""Whitehouse Swamp Recruiters"" program.",0.0,0.0,0.0,1.0
1143344075237728256,,Tue Jun 25 02:24:04 +0000 2019,"Anywhere,USA",,,,,,,,@SenWarren @HUDgov You are unfit for office.,0.0,0.0,0.0,1.0
1143335757634912256,,Tue Jun 25 01:51:01 +0000 2019,"San Francisco, CA",,,94101.0,,san francisco,ca,san francisco ca,"@RepKatiePorter @HUDgov @CFPB Well, that’s just gross.",-0.25,0.206,0.304,0.49
1143316756464730118,,Tue Jun 25 00:35:31 +0000 2019,"Tucson, AZ",32.22,-110.97,85701.0,4019.0,tucson,az,tucson az,@RepKatiePorter @HUDgov @CFPB Recycled.,0.0,0.0,0.0,1.0
1143314694276386817,,Tue Jun 25 00:27:19 +0000 2019,"San Diego, CA",32.72,-117.18,92101.0,6073.0,san diego,ca,san diego ca,@RepKatiePorter @HUDgov @CFPB LORD!! https://t.co/yvIUxhFGoH,0.0,0.0,0.0,1.0
1143314506174496770,,Tue Jun 25 00:26:34 +0000 2019,San Jose,,,,,,,,@RepKatiePorter @HUDgov @CFPB There is never a bottom when it comes to anyone in this administration from the top on down. History will not look kindly on this entire clusterf*** of a presidency.,-0.2091,0.054,0.079,0.868
1143300830235246592,,Mon Jun 24 23:32:14 +0000 2019,Phoenix AZ,,,,,,,,@AZHousing @NAC_Phoenix @HUDgov Campus MADE HOMELESS and DISEMBOWLED by a state/government execution squad along with the US Dept of Housing for covering for all of you!,0.0,0.0,0.0,1.0
1143300718155010048,,Mon Jun 24 23:31:47 +0000 2019,Phoenix AZ,,,,,,,,"@AZHousing @NAC_Phoenix @HUDgov The ghosts of all the former home owners next to Shawnee Bark Park, their survivors, and other Chandlerians want you, Enrique Nieto, and the c**nts of Enrique at the Human Services",0.0772,0.038,0.0,0.962
1143293239019151360,,Mon Jun 24 23:02:04 +0000 2019,"Oklahoma, USA",,,,,,,,"RT @RedRiverT: #2020 #spending #Transportation &amp;
#UrbanDevelopment 
The LOCAL Housing Authority! Doesn't Discriminate! @RealBenCarson
#Immi…",0.2225,0.119,0.0,0.881
1143293219813371904,,Mon Jun 24 23:01:59 +0000 2019,"Oklahoma, USA",,,,,,,,"#2020 #spending #Transportation &amp;
#UrbanDevelopment 
The LOCAL Housing Authority! Doesn't Discriminate! @RealBenCarson
#ImmigrationReform #BuildTheWall 
#VoterID @RepClark
@HUDgov @VickyHartzler",0.2225,0.1,0.0,0.9
1143286416312537090,,Mon Jun 24 22:34:57 +0000 2019,"Troy, MO",39.0,-91.0,63379.0,29219.0,troy,mo,troy mo,"Lord, @HUDgov's personally appointed by @realDonaldTrump @POTUS isn't as bright as a 2 watt light bulb! https://t.co/xRclFdUsGk",-0.4015,0.0,0.162,0.838
1143269320740548608,,Mon Jun 24 21:27:01 +0000 2019,United States of America,,,,,,,,@RepKatiePorter @SusanToups1 @HUDgov @CFPB So it's okay to employ him in another government agency???,0.4056,0.173,0.0,0.827
