timestamp,tweet_text,username,all_hashtags,followers_count
2019-06-26 17:29:28,b'@RonaldoR9321 @IKhanz7 @alphakean7 @KeylorinhoW 4 finals. 2 player of the tournament.  Ronaldo gets knocked out by the US in the World Cup and has never won a player of the tournament',b'ERNlEtaka',[],1
2019-06-26 17:29:27,"b""Trump slams Rapinoe for saying she won't go to 'f***ing White House'  https://t.co/4bVbmrfRsa""",b'thaiparampil',[],1580
2019-06-26 17:29:27,b'People trying to talk crap to Megan Rapinoe calling her un-American lol She has won a World Cup and Gold Medal for the US. She and the other women on the USWNT have made America way greater on a world stage than that orange dump truck in the White House ever has or will',b'MissRoxyy_',[],1160
2019-06-26 17:29:25,"b""@Rod_Studd I watched one of the women's World Cup games the other night - well part of it. Utterly unwatchable. I thought it was bad enough in rugby league but it is completely unsuited to football.""",b'KEVINMORT',[],1105
2019-06-26 17:29:24,"b'@munro_mclaren @kobi_12345 @bibba7456 @BrookeBCNN @USWNT @mPinoe @cbrennansports Please compare men\xe2\x80\x99s World Cup gross revenue vs women\xe2\x80\x99s.... It\xe2\x80\x99s simple economics, the men pull in more money because of more viewers/attendance and therefore they make more money.'",b'erick_myer',[],2
2019-06-26 17:29:24,"b'@Koreaboo Australia, honey, wait until you lose on the World Cup by getting bad wishes https://t.co/jsEZLX6ZK5'",b'monowalker1',[],8
2019-06-26 17:29:23,"b'ICC Cricket World Cup,Jun 26 2019  New Zealand 237/6   Pakistan 164/3 * (37/50 ov, target 238) Pakistan require another 74 runs with 7 wickets and 13.0 overs remaining  #ICCCricketWorldCup2019 #WorldCup2019 #PakvsNZ @TheRealPCB @cricketworldcup @ICC   #WeHaveWeWill https://t.co/95aez2lEqd'",b'Nawaiwaqt_',"['ICCCricketWorldCup2019', 'WorldCup2019', 'PakvsNZ', 'WeHaveWeWill']",188275
2019-06-26 17:29:16,"b""Here's how #TeamIndia and @windiescricket might line up when they face off in the @cricketworldcup tomorrow!  #CWC19 #WIvIND #MenInMaroon  https://t.co/YUAnaBa4Pr""",b'FOXSportsAsia',"['TeamIndia', 'CWC19', 'WIvIND', 'MenInMaroon']",52692
2019-06-26 17:29:15,"b'@gcortez26 Doubt they\xe2\x80\x99d want to be talking about politics, that\xe2\x80\x99s probably the last thing they want to do when they\xe2\x80\x99re living their dream at the World Cup. But if they\xe2\x80\x99re going to be asked about it, they\xe2\x80\x99re most definitely the last people to stay quiet about it.'",b'luissfeerrr',[],214
2019-06-26 17:29:15,"b'#CWC19 #NZvPAK  There you go... part-timers costing NZ! 9 runs off that Munro over, then back-to-back boundaries off Williamson. Pressure is released. Babar Azam has hit all three boundaries &amp; is playing a blinder! 50-partnership up as well.  Live blog: https://t.co/vdY7ph07gk'",b'thefield_in',"['CWC19', 'NZvPAK']",12122
2019-06-26 17:29:14,b'Cricket World Cup: Safaraz Ahmed catch removes Ross\xc2\xa0Taylor https://t.co/qZQ70Oe3SD https://t.co/c4ruRKzmNT',b'BahamasHerald',[],130
2019-06-26 17:29:14,b'World cup do hamain \xf0\x9f\x94\xa5 https://t.co/px6kgbTezm',b'KhawajaUzayr',[],51
2019-06-26 17:29:12,b'#CWC19 #NZvPAK #NZvsPAK #CCWorldCup2019   TWO FOURS IN A ROW! Babar is turning it on as he hits Williamson for two fours to complete 50-run stand with Haris Sohail.   LIVE BLOG: https://t.co/hF5PARvDOm FOLLOW SCORECARD: https://t.co/xxdOpJGTE2 https://t.co/S8R1wVAKbS',b'cricket_country',"['CWC19', 'NZvPAK', 'NZvsPAK', 'CCWorldCup2019']",36317
2019-06-26 17:29:08,"b""Women's World Cup 2019: Aurora Galli scores Italy's second with a powerful effort from outside the\xc2\xa0box https://t.co/UhjCNxgi4u""",b'SeymourProducts',[],365
2019-06-26 17:29:07,"b'ICC World Cup 2019 - New Zealand vs Pakistan, Match 33 NZ: 237/6 after 50 overs PAK: 164/3 after 37 overs  H Sohail: 27 B Azam: 72  #NZvPAK'",b'khelkumbh',['NZvPAK'],27
2019-06-26 17:29:06,"b'Just in:  Till when can Delhi successfully ignore the elephant, rather the mountain, in the room?: Anannya Shandilya With election campaigns centred around religious conflicts, the thrilling matches of the world cup, and spicy rumours of Bollywood\xe2\x80\xa6 https://t.co/EiHvBia3Ai https://t.co/EGWET0bk5D'",b'oncommentwise',[],48
2019-06-26 17:29:00,b'Phil Neville reveals England camp has been hit by virus https://t.co/04HmXTZwJf',b'ManCityMEN',[],108292
2019-06-26 17:29:00,b'@WarrichA @RmShazib Ramis is been stupid throughout World Cup manhoos',b'dr_boltz',[],45
2019-06-26 17:28:57,"b""This world Cup hasn't seen a more gripping game than this. Pakistan team is the box office of every tournament. #WeHaveWeWill #PAKvNZ""",b'Ovais_',"['WeHaveWeWill', 'PAKvNZ']",757
2019-06-26 17:28:49,b'Pakistan need 74 from 78 with seven wickets in hand...   Watch #BackTheBlackcaps v #WeHaveWeWill live now on Sky Sports Cricket World Cup',b'SkyCricket',"['BackTheBlackcaps', 'WeHaveWeWill']",547465
2019-06-26 17:28:41,"b'Match Update:  33rd match, ICC Cricket World Cup at Birmingham, Jun 26 2019   New Zealand 237/6 * (50 ov)   Pakistan 164/3 * (37/50 ov, target 238)  #PAKvNZ  #CWC19 #NZvPAK'",b'24NewsHDSports',"['PAKvNZ', 'CWC19', 'NZvPAK']",12402
2019-06-26 17:28:40,"b"".@mpinoe Hi Megan, I'm a huge fan of women's soccer!!! Good luck in the Women's World Cup!!! Please take a cue from Hope Solo and post photos of your asshole. Thank you!""",b'ElroyFudge4Real',[],99
2019-06-26 17:28:40,"b'The World Cup winner scores for #Shakhtar!  In the friendly vs Ludogorets, Danylo Sikan scored his first goal for Shakhtar! See how it happened! https://t.co/UwGbXhkzyR'",b'FCShakhtar_eng',['Shakhtar'],22527
2019-06-26 17:28:38,b'Munro has been absolutely useless in this World Cup... time to bin the bastard',b'Sports_k1ng',[],575
2019-06-26 17:28:35,b'Less than a 100 runs required to win this\xf0\x9f\x8f\x8f\xf0\x9f\x99\x86\xe2\x80\x8d\xe2\x99\x80\xef\xb8\x8f  Will #TeamGreen win this one and prove the 1992 World Cup theory to be true? \xf0\x9f\x92\xaf\xf0\x9f\x8f\x86  #CWC19 #NZvPAK #DunyaKoBataaDo #JazzSuper4G',b'jazzpk',"['TeamGreen', 'CWC19', 'NZvPAK', 'DunyaKoBataaDo', 'JazzSuper4G']",600869
2019-06-26 17:28:34,b'Cocacola\xe2\x80\x99s World Cup Egypt T-shirts are the hero still and they are everywhere sonce then!',b'ZakiHussien_',[],50
