timestamp,tweet_text,username,all_hashtags,followers_count
2019-06-26 17:30:30,b'HUGE SPELL THIS FOR THIS WORLD CUP AND WILL SEPARATE MEN FROM BOYS.',b'sanivaince',[],278
2019-06-26 17:30:30,"b'It reminds me that the other day when I was watching the US v Spain game in the World Cup, that I said I thought Jill Ellis might be Martha Stewart\'s hit woman. That I thought she could pull that off. And my mom said, ""Martha Stewart is Martha Stewart\'s hit woman."" Fair.'",b'Bibliogato',[],10063
2019-06-26 17:30:30,"b"".@USWNT's Megan Rapinoe is already saying no to a White House invitation if the team wins the Women's World Cup. Is that rude or do you respect her choice? https://t.co/3vCBUvXTer https://t.co/6Fzt2h9kkh""",b'tyltsports',[],284
2019-06-26 17:30:28,"b'@USWNT First of all LOVE @USWNT!!! Second, hopefully you win the World Cup. You better visit the White House. It is an honor and privilege not many of us get. It\xe2\x80\x99s about that not who is President. Not a fan of @mPinoe!'",b'LacyFranke',[],80
2019-06-26 17:30:27,b'@realDonaldTrump @mPinoe This fucker brings up the NBA then talks about black unemployment in the next sentence. All while addressing a White House visit after the world cup',b'GodlessOne1',[],440
2019-06-26 17:30:24,"b'2019 Cricket World Cup: India vs West Indies - Our aim is to win all matches, says West Indies captain Jason Holder https://t.co/ZrQNJxg986'",b'ImAnupGupta',[],2021
2019-06-26 17:30:24,"b""2019 Cricket World Cup: India vs West Indies preview - We are aware of the challenges, our plans are in place, says India's bowling coach Bharat Arun https://t.co/xggD6ZqR4t""",b'ImAnupGupta',[],2021
2019-06-26 17:30:21,"b""@realDonaldTrump You're not worried about the country or the flag, just your thin skin. Rapinoe\xe2\x80\x99s teammates Becky Sauerbrunn &amp; Alex Morgan have also said that they will not attend the WH should the team win the World Cup.   The US team met with Obama after they won the World Cup in 2015.  Uh-oh. https://t.co/cJG6XDaXVP""",b'SallyDeal4',[],29172
2019-06-26 17:30:21,"b'Another major cock-up for the FIFA women\xe2\x80\x99s World Cup match. I can no longer access, download and print off my tickets for the Rennes match Germany v Sweden. The ticking debacle continues. The website is blaming those trying to resale their tickets, while taking NO responsibility. https://t.co/1Kfdrx0Yzp'",b'Sydney666',[],22
2019-06-26 17:30:19,b'#MenInOrange  I support the new jersey Great new colour for the #MenInBlue #IndianCricketTeam  Go win the world Cup \xf0\x9f\x98\x8a \xf0\x9f\x87\xae\xf0\x9f\x87\xb3',b'vikram_chauhan_',"['MenInOrange', 'MenInBlue', 'IndianCricketTeam']",65
2019-06-26 17:30:18,"b'@downloadcue Sporting events! mainly the weird seasonal ones. Olympics events (medaling rounds especially), World Cup games, triple crown races. Game 7s of anything.'",b'davidpots',[],798
2019-06-26 17:30:15,"b""This is all boiling down to a Outright and Convincing World Cup Finals Win for I-N-D-I-A. Can't see anyone touching my country this English summer \xf0\x9f\x87\xae\xf0\x9f\x87\xb3 #NZvPAK #INDvWI #CWC19""",b'Almightymit',"['NZvPAK', 'INDvWI', 'CWC19']",738
2019-06-26 17:30:13,"b""I don't want to jinx it, but this can be a huge match for Babar's career. The only thing missing from his arsenal is the ability to finish games. Here, in a World Cup match, versus an unbeaten side. It can't get any bigger than this.""",b'_The2ndComingg',[],86
2019-06-26 17:30:13,b'Exceptional batting from Babar Azam. Two boundaries in the over have brought the pressure down. Pakistan are favourites from here.  \xf0\x9f\x87\xb5\xf0\x9f\x87\xb0 164/3 after 37 Overs (Target: 238)  Live Blog: https://t.co/GL5fTkwUqz #NZvPAK #CWC19',b'cricketnext',"['NZvPAK', 'CWC19']",122284
2019-06-26 17:30:11,b'@TriggoFoods Jasprit Bumrah   #WorldCupWithTriggo #CWC19  #CWC2019 #WorldCup #Cricket  @TriggoFoods  Join friends  @KukretyRanjana  @raji2008  @SBC_2018  @chaman120  @bobkumar108',b'kelvin_kool',"['WorldCupWithTriggo', 'CWC19', 'CWC2019', 'WorldCup', 'Cricket']",159
2019-06-26 17:30:04,"b""Not gonna lie I didn't want USA to win the Womens world cup because they just fkn destroy everyone all the time, but now I'm backing them (except if they face England ofc). \xf0\x9f\x98\x98 https://t.co/jZ6pPrHfSy""",b'socioEqualiser',[],765
2019-06-26 17:30:03,b'Oh and the USWNT have won four Olympic gold medals. The last time the USMNT won a gold medal was in 1904. \xe2\x9a\xbd\xef\xb8\x8f\xe2\x9c\x8c\xf0\x9f\x8f\xbc #WorldCup #USWNT #Soccer https://t.co/lMu7GwT0r2 https://t.co/ykr8gph20I',b'munro_mclaren',"['WorldCup', 'USWNT', 'Soccer']",139
2019-06-26 17:30:02,b'@narendramodi we found a replacement for @SDhawan25 for ongoing World cup https://t.co/Yuu7HkfUyp',b'kushalshukla_',[],365
2019-06-26 17:30:01,"b'Asian tigers are on brawl in icc World Cup, no wonder it could be all Asian semi final berths @ICC @cricketworldcup @BCCI @imVkohli @ImRo45 @msdhoni'",b'Sachinpant13',[],143
2019-06-26 17:30:01,"b""Redding's Megan Rapinoe is not planning to go to the White House if the national team wins the World Cup. Details &gt;&gt; https://t.co/8WnJQRpc7i""",b'ActionNewsNow',[],16803
2019-06-26 17:30:00,b'Pierluigi Collina warns Premier League over plans to ignore new VAR rules https://t.co/66kqiRvpr7',b'IndyFootball',[],96248
2019-06-26 17:29:58,b'@AhmerNajeeb Bhai this world cup is the summary of his career',b'mzakihaider',[],168
2019-06-26 17:29:54,b'@LuLu_Mall Jason Holder From West Indies  #LuLuMall #Cricket #WorldCup #Kochi  #ContestAlert  @LuLu_Mall',b'Veena51786329',"['LuLuMall', 'Cricket', 'WorldCup', 'Kochi', 'ContestAlert']",195
2019-06-26 17:29:53,"b'@normajay Upgraded cause of cricket world cup, also get to watch modern family \xe2\x98\xba\xef\xb8\x8f after the world cup back to compact infact downgrade done effective 25th July so...'",b'SkydoPeza',[],474
2019-06-26 17:29:52,"b'@AbbyWambach If the @USMNT were dominating an opponent 13-0 in an opening round World Cup match against a weak opponent (however unlikely) and behaving like this, I absolutely would call them out on it.  This has absolutely nothing to do with gender, and shame on your for hiding behind that.'",b'bcb_md',[],431
2019-06-26 17:29:50,"b'Megan Rapinoe has harsh response about possible White House visit https://t.co/bLZMkGGI38 We not only wants you not to go to the WH, but we would love for you to quit the team and leave our amazing country. TATA Bia%ch #NoOneWillMissRapinoe'",b'VadimDyachenko6',['NoOneWillMissRapinoe'],91
2019-06-26 17:29:49,b'@talkSPORTDrive not picking Alex Hales will cost them the World Cup...',b'MrP_RPS',[],133
2019-06-26 17:29:39,b'Best captain of this World Cup gave over to Munro and changed the momentum. What a skipper\xf0\x9f\x91\x8f #PAKvNZ #NZvPAK',b'VKsSanedo',"['PAKvNZ', 'NZvPAK']",23
2019-06-26 17:29:33,b'Reminds me of Dr @amyjccuddy\xe2\x80\x99s TED Talk. The cricket World Cup. Cc @navarrotells https://t.co/hKwjhiBR4D',b'NC_CyberLaw',[],2422
2019-06-26 17:29:28,b'@RonaldoR9321 @IKhanz7 @alphakean7 @KeylorinhoW 4 finals. 2 player of the tournament.  Ronaldo gets knocked out by the US in the World Cup and has never won a player of the tournament',b'ERNlEtaka',[],1
2019-06-26 17:29:27,"b""Trump slams Rapinoe for saying she won't go to 'f***ing White House'  https://t.co/4bVbmrfRsa""",b'thaiparampil',[],1580
2019-06-26 17:29:27,b'People trying to talk crap to Megan Rapinoe calling her un-American lol She has won a World Cup and Gold Medal for the US. She and the other women on the USWNT have made America way greater on a world stage than that orange dump truck in the White House ever has or will',b'MissRoxyy_',[],1160
2019-06-26 17:29:25,"b""@Rod_Studd I watched one of the women's World Cup games the other night - well part of it. Utterly unwatchable. I thought it was bad enough in rugby league but it is completely unsuited to football.""",b'KEVINMORT',[],1105
2019-06-26 17:29:24,"b'@munro_mclaren @kobi_12345 @bibba7456 @BrookeBCNN @USWNT @mPinoe @cbrennansports Please compare men\xe2\x80\x99s World Cup gross revenue vs women\xe2\x80\x99s.... It\xe2\x80\x99s simple economics, the men pull in more money because of more viewers/attendance and therefore they make more money.'",b'erick_myer',[],2
