timestamp,tweet_text,username,all_hashtags,followers_count
2019-06-21 18:21:45,"b'Alright Spanish twitter help me find these Zapatos that my gma is talking about pleaseee, she doesn\xe2\x80\x99t know how to ss &amp; i honestly haven\xe2\x80\x99t seen any shoes on the timeline \xf0\x9f\xa7\x90 she\xe2\x80\x99s just getting use to texting so that\xe2\x80\x99s why her messages are all over the place lol https://t.co/ZjRKxaiDcx'",b'HelloVikk_816',[],335
2019-06-21 18:20:30,b'@Oliviaaa02 @Tuedss Well! https://t.co/73jYeUA6IH',b'Zapatos_101',[],155
2019-06-21 18:18:46,b'@Zapatos_101 @Tuedss Today is payday https://t.co/dZWaO1tuD1',b'Oliviaaa02',[],542
2019-06-21 18:17:35,b'@Oliviaaa02 @Tuedss Ok...you might be on to something Clem! \xf0\x9f\x98\xb2\xf0\x9f\xa4\x94 Olivia your bitchass better wait till payday then',b'Zapatos_101',[],155
2019-06-21 18:16:12,b'@Tuedss @Zapatos_101 EXACTLY',b'Oliviaaa02',[],542
2019-06-21 18:14:36,b'@Oliviaaa02 CAN YOU IMAGINE GRILLED CHEESE WHEN YOURE WASTED????? urgh @Zapatos_101 whatchu talkin bout',b'Tuedss',[],396
2019-06-21 18:07:22,b'Srenket Mens Casual Athletic Sneakers Comfortable Running Shoes Light Tennis Zapatos Footwear for Men Walking Workout Gray46 - https://t.co/lXvKd56x2n... https://t.co/aQT3I84t2n',b'Jaynarkliner',[],99
2019-06-21 17:43:27,b'@Zapatos_101 @MangoMandy25 Lmao I CANT',b'Oliviaaa02',[],542
2019-06-21 17:40:49,b'@Oliviaaa02 @MangoMandy25 Bitch if you don\xe2\x80\x99t stop spending money https://t.co/itS9ed2Fb8',b'Zapatos_101',[],155
2019-06-21 16:26:06,b'Plus size Genuine Leather Flat Shoes Woman Handmade Leather Loafers Flexible Spring Casual shoes woman Flats zapatos mujer k20 https://t.co/Tj0CQ35I93 #freeshipping #ecommerce #shopping #onlinestore #sales https://t.co/vu3MkIw0VU',b'marduct',"['freeshipping', 'ecommerce', 'shopping', 'onlinestore', 'sales']",394
2019-06-21 16:03:42,b'I had to wake my mom up to show me how to pump gas bc my pendeja  ass doesn\xe2\x80\x99t know how.. we get off at the gas station and the 1st thing she tells me is \xe2\x80\x9cest\xc3\xa1n bonitos tus zapatos\xe2\x80\x9c lmao like dude show me how to do this shit \xf0\x9f\xa4\xa6\xf0\x9f\x8f\xbb\xe2\x80\x8d\xe2\x99\x80\xef\xb8\x8f\xf0\x9f\x98\x82',b'jenbetancourt_',[],115
2019-06-21 15:14:43,"b'""Todo en exceso es malo, excepto los zapatos."" Encuentra este par de Manuel Sekkel en The Shops At Downtown \xf0\x9f\x91\xa0 || ""Everything in excess is bad except shoes."" Find this pair from Manuel Sekkel at #TheShopsAtDowntown  #shoesaddict \xf0\x9f\x91\xa0 https://t.co/VHphhjeYkq'",b'TheShopsDT',"['TheShopsAtDowntown', 'shoesaddict']",3234
2019-06-21 14:32:02,"b'Time Show Shoes supply, and make shoes for Brands, Retailers, Private labels, Government entities and BEYOND.#timeshowshoes #wholesaleshoes #shoesmanufacturer #wedges #mules #sandals #sandali #sandalias #shoes #scarpe #Zapatos #sapatos #ladyshoes #scarpedadonna #sapatosdesenhora https://t.co/S7yBDAtn4P'",b'TimeShowShoes',"['timeshowshoes', 'wholesaleshoes', 'shoesmanufacturer', 'wedges', 'mules', 'sandals', 'sandali', 'sandalias', 'shoes', 'scarpe', 'Zapatos', 'sapatos', 'ladyshoes', 'scarpedadonna', 'sapatosdesenhora']",42
2019-06-21 12:27:23,b'Like and Share if you want this  Tag a friend who would love this  Una tienda web para toda la familia Isabella Eleganza Boutique... https://t.co/AzRIaDgZvt',b'alogermanico',[],455
2019-06-21 11:45:14,b'V E R S A L L E S \xf0\x9f\x92\x90  Shop online https://t.co/zSvDXbv4sr  #zapatosdenovia #zapatosdefiesta #zapatosboda #novia #zapatos #shoes #invitadaperfecta #invitadaideal #wedding #boda #bridal #raquelovers #raquelnovias #invitadasraquel #raquelzapatos https://t.co/xKGzkOYwde',b'Raquel_zapatos',"['zapatosdenovia', 'zapatosdefiesta', 'zapatosboda', 'novia', 'zapatos', 'shoes', 'invitadaperfecta', 'invitadaideal', 'wedding', 'boda', 'bridal', 'raquelovers', 'raquelnovias', 'invitadasraquel', 'raquelzapatos']",38
2019-06-21 10:14:22,b'Laamei Ladies Chaussure Women Spring Autumn Shoes Woman Zapatos Mujer Sapato Girls Ankle Boots Square Chunky Low Heels Booties https://t.co/L1rK34kguK #fashion|#sport|#tech|#lifestyle https://t.co/MLgxuhyHlF',b'IsmailE68007517',"['fashion', 'sport', 'tech', 'lifestyle']",20
2019-06-21 08:25:34,b'$20.66 https://t.co/tNoyBEu9Zu Fashion Sneakers Women Trainers Vulcanized Shoes Casual Tenis Feminino Ladies Shoes Basket Femme Breathable Zapatos Mujer https://t.co/ksTtER6ek2',b'buy18eshop',[],325
2019-06-21 07:31:01,b'Chinese Shoe Manufacturer with 10+ years of experience in private label shoe manufacturing.#timeshowshoes #wholesaleshoes #shoesmanufacturer #wedges #mules #sandals #sandali #sandalias #shoes #scarpe #Zapatos #sapatos #ladyshoes #scarpedadonna #sapatosdesenhora #boots https://t.co/OueX4hnrKo',b'TimeShowShoes',"['timeshowshoes', 'wholesaleshoes', 'shoesmanufacturer', 'wedges', 'mules', 'sandals', 'sandali', 'sandalias', 'shoes', 'scarpe', 'Zapatos', 'sapatos', 'ladyshoes', 'scarpedadonna', 'sapatosdesenhora', 'boots']",42
2019-06-21 05:48:47,b'Big chop knock a nigga out zapatos',b'CliffordJIsNice',[],765
2019-06-21 05:06:58,"b'Uno, dos, no tres she a Tato We got bitches shaking ass in a lato Big chop knock a nigga out zapatos Still getting queso, like nachos https://t.co/OlUQVJ0oGl'",b'ImJustSMG',[],189
2019-06-21 04:55:36,b'@CCamilizersMX @AmazonMusicMX What are those?  (Los zapatos de Camila)',b'CameguiLaurello',[],119
2019-06-21 04:35:33,b'#ladieshoes 2017 Vintage Style Genuine Leather Women Boots Flat Booties Soft ... https://t.co/Y2wJAgCUbS https://t.co/9BKXeNHTqJ',b'goladiesshoes',['ladieshoes'],23
