timestamp,tweet_text,username,all_hashtags,followers_count,,Primary,Secondary
7/8/19 16:25,"b'In episode two, Admiral Tim Ziemer of the @USAID_DCHA sits down with @roffenheiser to discuss how the U.S. is working to address critical health and humanitarian issues across the globe. Listen at: https://t.co/RCujuLmU4V'",b'NDIGD',[],1027,,I,
7/8/19 14:16,"b'The Division of Nursing at @MedStarGUH won a Patient Safety &amp; Quality Award from @DCHospitalAssoc for outperforming the national teaching hospital average for injury falls, hospital acquired pressure ulcers, CLASBI, CAUTI, and prenatal care. Full story at https://t.co/Nd6YdK8Qe2. https://t.co/D8MdofhujR'",b'DCHospitalAssoc',[],577,,I,
7/8/19 13:31,"b'As if DCHA is doing residents a favor by destroying these facilities when it is neglect, economic opportunism (gentrification &amp; Bowser getting cozy w/developers) &amp; the ease of displacing low income black folks that are the reasons. Bowser and DCHA dont SUDDENLY care abt blk folks https://t.co/rLyT0BN3UP'",b'SAmpson_No_S',[],361,,PD,EA
7/8/19 13:21,"b'""More than 80 percent of the agency\xe2\x80\x99s 8,500 units are in disrepair. Of those, DCHA has identified 2,610 units that it says are \xe2\x80\x9cextremely urgent,\xe2\x80\x9d with problems that pose risks to residents\xe2\x80\x99 health and safety, including lead contamination...'",b'AMReese07',[],4267,,N,N
7/8/19 12:32,"b""DCHA releases proposal to gut, rehab and redevelop city's public housing. Monday Must Reads. https://t.co/GlmhxwmfOr""",b'UrbanTurf_DC',[],7617,,N,N
7/8/19 10:33,"b""We need to rethink America's approach peace, security &amp; fragile states.   @ShamilIdriss &amp; @Wimye are joining @NotreDame for an important bipartisan conversation.  https://t.co/UZN36XlJF2  @ToddYoungIN @ChrisCoons @SFCG_ @mercycorps @AfPeacebuilding @USAID_DCHA @StateDept""",b'MikeJobbins',[],1640,,I,
7/7/19 14:38,"b'So sad that DCHA has allowed these properties to become so bad because of landlord not on up keep that they have to be completely torn down. Its a good thing, but it will be a long process which would push tenants out of DC \xf0\x9f\x98\x91 https://t.co/MvkmlK5OI5'",b'5ShotElle',[],297,,C,EA
7/6/19 17:25,"b'""We want to take our anger and our issues to DCHA, DCRA, and Mayor Bowser. We need to study and reflect before we can assess and attack."" https://t.co/Jaq1SRPtT1'",b'_ONEDC',[],3723,,C,EA
7/6/19 17:08,"b'Mayor Bowser, DCHA, and DCRA are among those responsible for displacement by neglect https://t.co/4Qwt0dMxkw'",b'_ONEDC',[],3723,,C,EA
7/5/19 21:58,"b'@Hou_Kyouma DE IZDA A DCHA: Howling Mad Murdock, Rinoa Heartilly y Ginny Weasley'",b'DanStormX',[],40,,I,
7/5/19 15:18,"b'Building resilience against foreign malign influence reflects @USAID\xe2\x80\x99s commitment to build our partners up, ensuring they engage the world on equal footing w/ their neighbors https://t.co/MVjyB2N7j1'",b'USAID_DCHA',[],4176,,I,
7/5/19 13:02,b'Never work a day in your life doing what you love. #dcha #dairy #motivation https://t.co/XVX57VHwYV',b'CalfandHeifer',"['dcha', 'dairy', 'motivation']",2386,,I,
7/4/19 20:38,b'News: DCHA offers continuing education credits https://t.co/S7JZ8IDGsp',b'dairybusiness',[],7523,,N,N
7/4/19 18:13,"b'@chief_kaoife DCHA are unreal, glad you had support \xf0\x9f\x92\x96 yeah take it easy hope ur ok!! sending good vibes, landlords are rat bastards'",b'clarke_ec',[],137,,E,EA
7/4/19 18:09,b'@clarke_ec Ah u little dote don\xe2\x80\x99t worry I\xe2\x80\x99m in! I had some really good help from people from DCHA and he gave me a key and left just have to deal with it some more tomorrow I suppose !! Gonna relax for now',b'chief_kaoife',[],1892,,E,P
7/4/19 16:50,b'@TimCoronel @xBrooklynBluex @4me_the @GenaOnTheRun @Guadalu32840247 @gdibner @nsb @_jodiegrey @ndv @JaclynRDN @xoangelashley  @Alonso39434581 @mmmargherita @CanonUSApro  @altushousewife @USAID_DCHA @FWDus @krazylil_kel @LanaMyers13 Very Emotional Video  https://t.co/GVy08oKmR2',b'ManiLiza_143',[],68,,I,
7/4/19 16:01,b'DCHA would completely rebuild five properties and gut or partially demolish another five. The city would seek financing and partnerships from the private sector and convert the buildings into other forms of affordable housing. https://t.co/ci6mSEcKxa',b'DCPublicBanking',[],528,,N,N
