timestamp,tweet_text,username,all_hashtags,followers_count,,Primary,Secondary
7/8/19 22:52,"b'@AOC @RepAOC  Hey Brainiac? The city of New York has been controlled by Dems (including NYCHA) for years as in most major urban areas in the US i.e; Detroit, Chicago, Philly, Wash DC, San Fran, Oakland, &amp; LA and you have the gall to blame the GOP? It\xe2\x80\x99s laughable at best! #KAG \xf0\x9f\x87\xba\xf0\x9f\x87\xb8'",b'RetSNCO',['KAG'],21,,C,F
7/8/19 22:45,b'City reportedly failed to do repairs and remove children from NYCHA apartments with\xc2\xa0lead https://t.co/17lDVU9ugJ https://t.co/11H9Mb5Y7K',b'TheChestnutPost',[],13,,N,N
7/8/19 22:39,"b'@WallyStummy LOL! NYCHA has the worst land use practices in the city. Parking lots on NYCHA sites are outrageous and should be paved over and replaced by housing. Also, I\xe2\x80\x99m punishing people who think it\xe2\x80\x99s our right to House their cars for free on public streets, not just the rich.'",b'urban_loudmouth',[],355,,C,EA
7/8/19 22:37,"b'@AnnaESanders @karol When @BilldeBlasio\xe2\x80\x99s Y is contaminated, he can simply switch gyms. Why didn\xe2\x80\x99t he find a place for children living in lead contaminated NYCHA slums to go as Public Advocate &amp; after 6 yrs as Mayor? #DeBlasioForPrison'",b'MChristo2019',['DeBlasioForPrison'],40,,PD,EA
7/8/19 22:32,"b'@AOC First of all NYCHA is not owed $34 Billion  That is how much it would cost to fix the most pressing issues.  ""NYCHA has a $34 billion backlog in capital needs, and the resources are not there,""  It is a mismanaged disaster area.  Cheaper to tear them all down and start over'",b'jack_veritas',[],6,,C,EA
7/8/19 22:32,b'@JumaaneWilliams Is your office also actively seeking answers to this? https://t.co/cNC4HVs9Kt or just when there\xe2\x80\x99s an incident involving the Police?',b'Jkaplan215',[],315,,E,F
7/8/19 22:25,b'@SallyGold @NYCHA @nycHealthy @ndhapple Remind everyone how much does the NYCHA Chief Gregory Russ makes in salary and gets to go home to Minnesota on tax payers money?',b'JIL153',[],392,,C,EA
7/8/19 22:21,"b'@legalaidnyc Thank you for always leading the way.  According to new published reports, the city failed to do repairs and move kids out of apartments with lead. Instead, the city\xe2\x80\x99s health department allegedly allowed nycha to appeal the findings.  @pix11news https://t.co/tjNO2UkgFo'",b'monicamoralestv',[],11809,,N,N
7/8/19 22:14,b'@03lefty @MarretyMary @AOC I read this and am thinking.... Hiw can any NYC politician fake outrage? Are they not ultimately the people charged with oversight of this agency? Are the tax payers not the people funding NYCHA? How are they getting a pass? Mayor Bill wants to be President? \xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3',b'yankeefan1551',[],481,,Q,C
7/8/19 22:10,b'Huh?  This is an interesting article.   Where Is NYCHA Housing Money Going? https://t.co/hwuiERP5s3',b'HeartlandRaised',[],2635,,N,C
7/8/19 22:08,b'@AOC Nycha has been under democrat policies for over 20 years.',b'FeFieFoeFum',[],11,,C,N
7/8/19 22:05,"b""Don't we know it. What came of @LynnePattonHUD's visits to NYCHA? Is the $ owed to NYCHA getting forked over? It's been years. https://t.co/s3JTJMkBac""",b'pattitweeting',[],948,,Q,EA
