timestamp,tweet_text,username,all_hashtags,followers_count,,Primary,Secondary
,,,,,,,
7/9/19 0:40,"b'@Duncan_de_Ese @NYCHA What\xe2\x80\x99s your source, and how are you quantifying \xe2\x80\x9cbiggest\xe2\x80\x9d? Adjusting for inflation? I\xe2\x80\x99m going off of Nick Dagen-Bloom\xe2\x80\x99s \xe2\x80\x98Public Housing That Worked,\xe2\x80\x99 which details how the city and state financed the construction and maintenance of most NYCHA buildings up until Koch and Carey.'",b'WillBredderman',[],5374,,Q,F
,,,,,,,
7/8/19 7:30,b'#EXCLUSIVE: $126 million in maintenance costs was spent by the Victorian government last year alone. #9News https://t.co/CpJ5ynM0aW',b'9NewsAUS',"['EXCLUSIVE', '9News']",520480,,N,N
,,,,,,,
7/7/19 5:07,"b""@DreverIan @BrentToderian Public housing is a valuable resource if it's not built cheap-ass and aggressively segregated. Maintenance of existing public housing stock is a nationwide challenge, but most isn't in as awful condition as the infamous high-rises.""",b'RoseBigSky',[],8,,C,EA
,,,,,,,
7/4/19 14:33,"b""@DaSilvaRVA I don't think anyone is going to disagree with you about deferred maintenance being a major issue and deconcentrating public housing being critical.  How are you going to pay for it without any element of privatization, though?""",b'Dil37343036',[],2,,Q,F
,,,,,,,
,,,,,,,
,,,,,,,
