timestamp,tweet_text,username,all_hashtags,followers_count,,Primary,Secondary
7/9/19 13:55,b'Campos resident Ms. Perkins visited &amp; took pictures of a Section 8 conversion before her own development underwent conversion. \xe2\x80\x9cOur buildings need a lot of repairs &amp; this effort with RAD &amp; @NYCHA trying to find money to fix the buildings is a good start.\xe2\x80\x9d https://t.co/jSQesnnEeT https://t.co/SgjQb7oXpQ',b'NYCHA',[],25822,,M,S
7/9/19 13:55,"b'@azsearz @AOC So true, republicans majorities have been in charge of NYC, NYCHA, NY state and the federal government from 08-now. NY is controlled by one party and it\xe2\x80\x99s the..... wait'",b'johnbonesNJ',[],14,,C,N
7/9/19 13:51,"b'@NYCSanitation Pleasr make sure you count all rugs for dead or missing residents or tourists taken 14 stories below Manhattan, NYCHA, MTA tunnels, or hidden... #NYCHA #Rugs'",b'EricAdamGonzal3',"['NYCHA', 'Rugs']",1,,I,
7/9/19 13:51,"b""Today I learned it is the GOP's fault that the NYCHA sucks ass. https://t.co/ud4uKmKS8S""",b'JWally06',[],237,,C,F
7/9/19 13:42,"b""This story makes me scream. By allowing the NYCHA to appeal findings of lead in homes, the city prioritized the needs of NYCHA over the lives of these children. It's 2019 and NYCHA is still removing lead paint from its housing stock. This should have happened decades ago. https://t.co/KvKmkdbpst""",b'nmackend',[],930,,C,EA
7/9/19 13:36,b'@dynasty8314 @AOC I love how some random dude with no clue how the NYCHA works is trying to correct a US Representative talking about her own district.',b'french4jonwayne',[],1747,,C,F
7/9/19 13:28,b'@FightForNYCHA @NYCSpeakerCoJo @CoreyinNYC @NYCHA He eager to put up $11 Billion to incarcerate our people and doesn\xe2\x80\x99t have a shiny penny for NYCHA smh',b'nonewnypd',[],1630,,PD,EA
7/9/19 13:25,"b'Confronted with The Post\xe2\x80\x99s damning front-page expose that showed city officials left children in lead-tainted apartments, NYC Mayor Bill de Blasio on Monday promised assistance and additional inspections... @cms1000 @DMRegister @NashuaTelegraph https://t.co/qXgXELZGrO'",b'DoEcorruption',[],386,,N,N
7/9/19 13:25,b'NYCHA RESIDENTS BEWARE !!! https://t.co/lbZ1UgzwCF',b'WTSTNY',[],13,,C,EA
7/9/19 13:21,b'City failed to remove lead-poisoned kids from toxic NYCHA apartments https://t.co/7VvJwnfhNQ',b'olimassociates',[],2212,,N,N
7/9/19 13:20,b'City failed to remove lead-poisoned kids from toxic NYCHA apartments https://t.co/BTFrh6XdDu',b'drknght77',[],6,,N,N
7/9/19 13:09,"b'Join us for a protest at the apartment house of @NYCSpeakerCoJo. We demand that @CoreyinNYC allocate $168 million needed to save Fulton Houses. @NYCHA   Date : Monday, July 15, 2019  Time : 6:30 - 7:30 pm  Place :  220 West 15th Street, Manhattan  RSVP : https://t.co/XTbfljQ9L1 https://t.co/GNldMdJlgE'",b'FightForNYCHA',[],779,,E,EA
7/9/19 12:56,b'The @nycHealthy found evidence of #leadpoisoning in children living in 34 @NYCHA apartments yet allowed #NYCHA to appeal the findings. Where is the accountability? #FixNYCHA #LeadFreeKids  https://t.co/Mdk4hNARjP',b'weact4ej',"['leadpoisoning', 'NYCHA', 'FixNYCHA', 'LeadFreeKids']",5078,,C,C
7/9/19 12:56,b'@AOC How does GOP (aka federal  gov)owe $ 34b ? Nycha is not federal lvl. Thats state lvl responsibility and NY state has been dem ran. Yur like a damn spoiled 5 yr old brat. You pitch a fit about everything and blame it on someone else always.',b'Moosaba42',[],1,,Q,EA
7/9/19 12:55,"b'Hey @AOC, while you\xe2\x80\x99re down at the southern border taking dramatic photos, low-income NYC CHILDREN are being poisoned by lead.  While you\xe2\x80\x99re \xe2\x80\x9cadvocating\xe2\x80\x9d for this country to take in more residents, your constituents are being poisoned at the hands of NYC.  https://t.co/4Drh3HAq2u'",b'breannamorello',[],50772,,C,EA
7/9/19 12:51,b'@AOC So how does that explain all the lead paint coverups by @SholaOlatoye and other NYCHA management?',b'MarcoMNYC',[],2751,,Q,F
7/9/19 12:39,"b'I\xe2\x80\x99d @olapeyrolerie thinks economy in delta is filthy, ask the kids with lead poisoning in @NYCHousing @NYCHA if \xe2\x80\x9cthey good?\xe2\x80\x9d @SBANYPD @NYCSpeakerCoJo @nypost @BarackObama'",b'Gotham_Strong',[],54,,C,EA
7/9/19 12:36,b'This idiot should visit @nycha and ask \xe2\x80\x9cyou good?\xe2\x80\x9d @NYCMayor @benshapiro @ny1 @nypost @nytimes @benshapiro @FreddiGoldstein @NewYorkGOP @GOP @democracynow @BilldeBlasio @SenSchumer https://t.co/gtxyKRIEzh',b'Gotham_Strong',[],54,,C,F
7/9/19 12:36,b'Is @AOC @RepAOC going to ask for the $32 billion to fix #publichousing? Instead of letting @NYCMayor @NYCHA privatize it with Greg Russ? #stopruss #keeppublichousingpublic #nycha @Marni4Council @NYCComptroller @monicamoralestv @leilanifarha @NYDailyNews @Kw33nStacks @myceeta https://t.co/9isWqUzjCK',b'NotOneMoreBlock',"['publichousing', 'stopruss', 'keeppublichousingpublic', 'nycha']",502,,Q,S
7/9/19 12:24,b'.@PIX11News: City failed to do repairs and remove kids from lead-contaminated NYCHA apartments: reports Cc: #JudithGoldiner @monicamoralestv  https://t.co/b0kfrnCBmf',b'LegalAidNYC',['JudithGoldiner'],17554,,N,N
7/9/19 12:23,b'Free PreK for All District 9 ; boarding districts 7&amp;8 (10451) - four year old class- children born in 2015. Please call for a tour and questions about enrollment. @NYCHA @PrekForAll @NYCSchools @BronxZoo @Vanessalgibson @CSD9Bronx',b'AllSeasonsABC',[],69,,I,
7/9/19 12:09,b'@AOC Our district has the highest concentration of @NYCHA than anywhere in the city. We\xe2\x80\x99ve asked for meetings with your office and other reps to fix this problem. I\xe2\x80\x99ve seen many videos but we have the analysis. Will you meet with us to discuss funding measures??',b'xavierasantiago',[],184,,Q,N
7/9/19 12:02,"b'The BEOC is recruiting for programs on Tourism &amp; Hospitality Operations and Direct Support Professional job training, English as a Second Language, and High School Equivalency prep. Learn more at the July 18 info session: https://t.co/jbZmTPoUG0 https://t.co/FLAtZyBuVA'",b'NYCHA',[],25822,,I,
7/9/19 11:57,"b'@blvckfonzz @Carolkry @AtonB117 @IamJohnBurnett @angelvanstark @MJtheProphet @AOC @SecretaryCarson @LynnePattonHUD For decades, republicans have cut funding to public housing. Again, Trump will be gutting the funding to HUD. NYCHA projects will only get worse. Stop voting for the GOP.'",b'jalal_moeen',[],35,,PD,EA
7/9/19 11:50,"b'@blvckfonzz @Carolkry @AtonB117 @IamJohnBurnett @angelvanstark @MJtheProphet @AOC @SecretaryCarson @LynnePattonHUD She\xe2\x80\x99s not in charge of NYCHA or HUD. She\xe2\x80\x99s not in charge of Flint, Michigan water departments. There are plenty of Congress people to ask as well in these matters, but you are choosing to say \xe2\x80\x9cfuck children in cages\xe2\x80\x9d and it\xe2\x80\x99s \xe2\x80\x9cAOC\xe2\x80\x9d who\xe2\x80\x99s not fighting for it.'",b'jalal_moeen',[],35,,C,F
7/9/19 11:45,b'@AOC How would you know about NYCHA? Did you ever visit one in your district?',b'phyllis29118774',[],1,,Q,F
7/9/19 11:44,b'@AOC @saikatc NYCHA is in a crisis because housing is not a legitimate function of government.  #greedNewDeal',b'Lysandr_Spooner',['greedNewDeal'],7,,C,F
7/9/19 11:33,b'@IamJohnBurnett @AOC A Republican talking about problems with NYCHA \xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82',b'questions4potu1',[],474,,N,N
7/9/19 10:58,"b'@AOC Years of GOP majorities?  NYC has been overwhelming Dem since 1990.  11 of 12 districts are Dems. 68% of voters are Dems. Wilhelm is a Dem.  Last time a Rep won the presidential vote was Coolidge in 1924.  Can\xe2\x80\x99t blame NYCHA on the GOP, it\xe2\x80\x99s pure Dem fault.'",b'georgek43k',[],652,,C,EA
7/9/19 10:42,"b'@AOC Which GOP majorities, because there are no GOP majorities in NYC or NY state and the city already overtaxes upstate to support it. If the NYCHA is in trouble, NYC should fix it.'",b'kstl262',[],5,,C,EA
