timestamp,tweet_text,username,all_hashtags,followers_count,,Primary,Secondary
,,,,,,,
7/9/19 10:39,"b""@AOC Seems that's a NYC problem and not a federal government problem. Public housing shouldn't exist anyways but if you make them dependant on you then they will keep voting you into an overpaid job.""",b'ericturbeville1',[],27,,C,EA
,,,,,,,
7/9/19 3:59,b'@LukeHowarthMP I would prefer Services for all reather than tax cuts for some. You could have postponed the tax cuts and funded public housing- which saves $$$ by reduced expenditure on legal &amp; health services https://t.co/2SNHw98erH',b'SisterOMalley',[],699,,PD,F
,,,,,,,
7/8/19 19:39,"b""@IamJohnBurnett @AOC Is there a reason we can't properly fund public housing AND shut down the concentration camps at the border? I see no problem in doing both.""",b'MJtheProphet',[],418,,Q,F
,,,,,,,
7/8/19 15:00,"b""@NickyDommy @byJoshuaDavis @yimbyaction It is a problem as simple as supply and demand. Restrict supply and demand goes through the roof.  Public housing is the dehumanizing and demoralizing option of last resort, not a solution for the middle class. When the middle class can't afford to live, something else is wrong.""",b'WhenItDiesThere',[],135,,C,F
,,,,,,,
7/8/19 4:19,"b'@fresh_knight The alternative is to ticket, fine and jail homeless individuals that cannot pay. That\xe2\x80\x99s a waste of resources that can be used to find a better solution to the problem. We need more low-income public housing, better access to mental healthcare, better foster care system, ...'",b'No_Es_Noe',[],12,,C,F
,,,,,,,
7/7/19 23:23,"b'""They tell us to paint over it, keep the windows open, and we do that. Housing say \'that\'s your problem, not ours\'."" Mould in public housing: family seeks action https://t.co/hDJwj44I2z via @ExaminerOnline https://t.co/2gIKJhMjVR'",b'ACMVora',[],3304,,M,F
,,,,,,,
7/7/19 21:22,"b'""They tell us to paint over it, keep the windows open, and we do that. Housing say \'that\'s your problem, not ours\'."" Mould in public housing: family seeks action https://t.co/hDJwj44I2z via @ExaminerOnline https://t.co/uoM2zoYiob'",b'ACMVora',[],3304,,M,F
,,,,,,,
7/7/19 16:32,"b'@RashidaTlaib Let\xe2\x80\x99s send all of them to YOUR district/community.   Stop forcing border states to take on this burden because you REFUSE to change the laws.   You people promise illegals free healthcare, education, sanctuary, public housing, and easy path to citizenship.   YOU\xe2\x80\x99RE THE PROBLEM!'",b'lisac0814',[],127,,C,EA
,,,,,,,
7/6/19 20:45,b'@WhiteHouse I want the immediate home expense to be withdrawnbas needed.. Matinance is not a problem B.. If if I buy home their still legacy homes and the become historical so the value and equity automatically  appreciates.. So.. Why would you raise the value of public housing??',b'PCaleef',[],7,,Q,F
,,,,,,,
7/6/19 6:00,"b""@yasminxakh ok first of all this is like one of the worst ideas ever because they could just make affordable public housing or maybe first they could deal with their ridiculous homeless problem second it was a joke and it's not a race thing""",b'caffeinelesbian',[],23,,C,EA
,,,,,,,
7/6/19 4:18,"b""@geoffsimmonz Because their governments invest in public housing... https://t.co/Xj7rP3b4TR Government housing doesn't have to make a profit (from rent), and in fact the rents are subsidized in some European countries. Subsidized rents would be better than a UBI to solve the housing problem.""",b'BLatro',[],28,,C,F
,,,,,,,
7/6/19 1:24,b'@Sofonisbe @peter__stern @ewarren i don\xe2\x80\x99t think anyone is disgreeing with your last two statements. the question at hand for me is \xe2\x80\x9cwhat is the biggest problem with rent prices in most of america: tax and public housing policy or how many units are being built?\xe2\x80\x9d',b'youlickboots',[],433,,Q,C
,,,,,,,
7/5/19 11:03,"b'Public subsidized housing has long suffered from a myriad of systemic problems \xe2\x80\x94 repairs, inspections and budgetary restraints. It\xe2\x80\x99s a problem SAP partner @BoodsKapper_Inc is solving with artificial intelligence and #machinelearning. Learn more: https://t.co/OyFmFYtip8 https://t.co/R6fbKJcl5x'",b'SAPPartnerEdge',['machinelearning'],26118,,N,N
,,,,,,,
