timestamp,tweet_text,username,all_hashtags,followers_count,,Primary,Secondary
,,,,,,,
7/3/19 18:21,"b'@zxp3ct3r @arianaamanoni @chuchiitos On a national level yes. But there are things local, county, and state governments and societies can do: volunteer at homeless shelters/soup kitchens, implement resources to better the quality of public housing before increasing the quantity, better quality public healthcare, etc'",b'antoninamarieee',[],20,,C,EA
,,,,,,,
7/3/19 18:12,b'@iheartmindy @madmamma4 @AOC AOC.  Go to the public housing in Baltimore and you\xe2\x80\x99ll see what deplorable conditions are. The children need to be in school to get a decent meal. Makes those \xe2\x80\x9ccamps\xe2\x80\x9dseem like a suite in the Carlton. This is what democrat rule does to a city. Wear a bulletproof vest',b'mark03366669',[],3801,,C,EA
,,,,,,,
7/3/19 18:09,"b'@NYCFirstLady A more accurate depiction would have been a young black Barbie in public housing, being exposed to toxic lead hazards, while you and your husband criss cross the city staying silent on the issue, knowing it was occurring.'",b'cms1000',[],364,,C,EA
,,,,,,,
7/3/19 18:09,"b""@RepMaxineWaters We should build public housing next door to your house, and next door to Pelosi's mansion.""",b'Colony14',[],3731,,C,EA
,,,,,,,
7/3/19 18:05,"b'The residents of DC\xe2\x80\x99s tent city have requested the large encampment around Union Station be named Bowserville to commemorate our Mayor @MurielBowser who has simeltenously lost control of our rental market, razed public housing, and cut spending on emergency shelter. #Bowserville'",b'AnarchyHearts',['Bowserville'],1281,,PD,EA
,,,,,,,
7/3/19 17:54,b'This IS a proven model. Mixed income high rises resulting in a more vibrant community. But ABAD will be concentrating poor families in high-rises with limited maintenance that will result in rapid deterioration in already shoddily constructed buildings. https://t.co/Kqe8TXlAFb',b'2paisay',[],623,,C,EA
,,,,,,,
7/3/19 17:42,"b'If you think section 8 or housing choice vouchers are a valid replacement for public housing, go to https://t.co/fsXdfshgMX  and search ""No section 8"". Literally, do it right now.'",b'BreadAndPork',[],504,,C,EA
,,,,,,,
7/3/19 17:40,b'So one of my friends lives in one of these housing complexes in DC and found out from the newspaper that it\xe2\x80\x99s slated to be demolished. That\xe2\x80\x99s trash as hell @MayorBowser. How come they didn\xe2\x80\x99t receive any notice from the building/city???  https://t.co/sLZRYHrbsZ',b'AwesomestOn3',[],1208,,PD,EA
,,,,,,,
7/3/19 17:40,b'A Dream Deferred--The Broken Promise of New York City Public Housing: The Struggle Is Real (Episode 2) | NewBlackMan (in Exile) - https://t.co/pATVWMWERB https://t.co/uzpKJwWhrD',b'coopmike48',[],8155,,IR,
,,,,,,,
7/3/19 17:38,b'Similar tactics used in HUD one strike policy in war on drugs individuals with drug felony living with someone in public housing can get everyone in household evicted it\xe2\x80\x99s the same playbook....ridiculous https://t.co/68B3zJcLSi',b'docjorich',[],590,,C,EA
,,,,,,,
7/3/19 17:37,"b'We are learning that public housing residents learned about the demolitions through the @washingtonpost , even their rental offices didnt know! Terrible engagement, @DC_Housing Some residents have been living in their units for 20+ years! They deserve respect and no displacement! https://t.co/q234051CGv'",b'jeremiah4dc',[],2112,,PD,EA
,,,,,,,
7/3/19 17:32,"b'In a study of public housing developments in Chicago, researchers found 52 percent fewer crimes reported near buildings surrounded by trees and other vegetation. https://t.co/aBoVDFMt4V'",b'midwestcdi',[],366,,IR,
,,,,,,,
7/3/19 17:31,"b'Nearly 16,000 families (95% Black, half under the age of 15) who live or lived in public housing have been displaced in the last 2 decades. #EpicenterChicago https://t.co/P7E0TwipZG'",b'UncannyAriel',['EpicenterChicago'],215,,C,EA
,,,,,,,
7/3/19 17:31,b'Smoke-free public housing reduces secondhand smoke by 46 percent https://t.co/hbGtQSGs7E https://t.co/0ephfbkCKv',b'ManageAffordabl',[],19,,C,N
,,,,,,,
7/3/19 17:30,"b'Over the next several years, the Virgin Islands Housing Authority plans to undertake a major, territory-wide overhaul of its housing portfolio with a five-phase repositioning strategy https://t.co/LaATrrpiMi'",b'CLPHA',[],868,,N,N
,,,,,,,
7/3/19 17:28,"b'@DavMicRot Why when someone says ""working class"" do liberals assume that is only whites? Why do they assume blacks don\'t get up and work every day? Why do they assume Blacks are represented by public housing and public assistance?'",b'1952_rfp',[],44,,Q,EA
,,,,,,,
7/3/19 17:26,"b'HUD is trying to bar mixed immigration status families from living in public housing. Before 7-9,  submit a public comment saying why that\xe2\x80\x99s ridiculous and xenophobic. The more unique comments HUD has to legally read, the better. #weareallhumans https://t.co/gSard8KURm'",b'wannabeamuppet',['weareallhumans'],38,,C,EA
,,,,,,,
7/3/19 17:25,b'DC Housing Authority is literally divesting itself of the business of housing the working poor. https://t.co/34bDaWiUL5',b'rondtjr',[],782,,C,EA
,,,,,,,
7/3/19 17:25,"b'@AOC @realDonaldTrump Please turn @AOC apartment building into public housing! AOC will foot the bill for food, medical, babysitting EVERYTHING for these ILLEGAL ALIENS! That way she won\xe2\x80\x99t have anything to complain about!'",b'monpat1031',[],1072,,C,EA
,,,,,,,
7/3/19 17:25,"b'In the last 2 decades 25,000 public housing units have been demolished. #EpicenterChicago https://t.co/7JXMTDlZs8'",b'BLMChi',['EpicenterChicago'],23507,,C,EA
,,,,,,,
7/3/19 17:23,"b'Nearly 16,000 families (95% Black, half under the age of 15) who live or lived in public housing have been displaced in the last 2 decades. #EpicenterChicago https://t.co/k9vzEk2IpA'",b'BLMChi',['EpicenterChicago'],23507,,C,EA
,,,,,,,
7/3/19 17:19,b'#Ward7 Here is the list of public housing complex @MayorBowser will be demolishing and displacing the black residents https://t.co/rMUH5zOmyA',b'mysikix',['Ward7'],1277,,PD,EA
,,,,,,,
7/3/19 17:17,b'. @Hacanet is working to convert its entire public housing portfolio through RAD. @FannieMae is also digging into RAD deals. https://t.co/Jb47MzMQzw',b'DKimura_AHF',[],1474,,N,N
,,,,,,,
7/3/19 17:15,"b'Chicago is a hub of resistance fighting back against national trends, incl policing, stop &amp; frisk, criminalization of poverty, targeting of migrants, segregation, gentrification, attrition of public housing &amp; privatization of public education &amp; public services. #EpicenterChicago'",b'BLMChi',['EpicenterChicago'],23507,,C,EA
