timestamp,tweet_text,username,all_hashtags,followers_count
2019-06-26 15:06:02,b'I will say it was interesting to hear a Bollywood radio station out near the bay area.  Included commercials for a streaming service to watch the international cricket world cup!',b'aninoag',[],70
2019-06-26 15:05:58,"b'@TheXboxHub Would really like to see one of these focussing on women, especially considering the Womens World Cup is happening right now'",b'Dobo1912',[],308
2019-06-26 15:05:58,b'@ChatByCC @realDonaldTrump @mPinoe Meghan Rapinoe has to be removed from the soccer team that represents our great country abroad. Alex Morgan has to be removed along with her.',b'BOIGirl',[],182
2019-06-26 15:05:55,"b""@QuicklyKevin My ears pricked up in today's episode when you were talking about the Subbuteo World Cup being on TV. I vividly remember this moment a particularly antagonistic score was settled. The post-match interviews are a treat: https://t.co/dldkqjhB7x""",b'lostmertonian',[],140
2019-06-26 15:05:54,"b""fuck you sabella! Tevez should have gone to the World Cup instead of Higuain or palacio. He'd have made a much greater impact carlitos3210""",b'gracie173',[],158
2019-06-26 15:05:54,"b""Mission not impossible \xf0\x9f\xa4\x9e  #NZ's middle-order duo lead resistance after early collapse \xf0\x9f\xa4\x9d  #Neesham \xf0\x9f\x91\x87 6th half century in ODIs 1st against #PAK 1st in the #WC  #Grandhomme \xf0\x9f\x91\x87 3rd half century in ODIs 2nd against \xf0\x9f\x87\xb5\xf0\x9f\x87\xb0 2nd in the World Cup  #NZvPAK #BACKTHEBLACKCAPS #WeHaveWeWill https://t.co/AsmTt2gdAs""",b'Sportsbet_io_IN',"['NZ', 'Neesham', 'PAK', 'WC', 'Grandhomme', 'NZvPAK', 'BACKTHEBLACKCAPS', 'WeHaveWeWill']",260
2019-06-26 15:05:52,b'In order to keep the people benumbed and unaware of the doings on the political and economic fronts the government should arrange a certain World Cup of cricket round the year. The NAB and other masters won\xe2\x80\x99t be able to do this job for longer time. #WorldCup2019 #pakvsNZ #NZvsPAK',b'zubairtorwali',"['WorldCup2019', 'pakvsNZ', 'NZvsPAK']",2666
2019-06-26 15:05:52,"b"".@Riverviewtheatr I'm looking forward to Friday's screening of the World Cup!  Any chance you might consider screening Mueller's testimony on July 17th? \xf0\x9f\x98\x83""",b'sydtopia',[],87
2019-06-26 15:05:49,"b'#CWC19 #NZvPAK  WICKET! And after a slew of boundaries in the first three overs, Trent Boult provides the breakthrough (it ever was thus!). Fakhar Zaman gets leading edge and Guptill takes a simple catch. PAK: 19/1 (3)  Live blog: https://t.co/vdY7ph07gk https://t.co/l7H6xq32F1'",b'thefield_in',"['CWC19', 'NZvPAK']",12119
2019-06-26 15:05:47,b'US soccer star Megan Rapinoe says she\xe2\x80\x99s \xe2\x80\x98not going to the f*****g White House\xe2\x80\x99 if the women\xe2\x80\x99s team wins the World Cup https://t.co/QxQAH1kAvp https://t.co/YjbnZHRrIm',b'Q13FOX',[],121031
2019-06-26 15:05:46,"b'Womens World Cup, who likes USA V England for a cracking semi final? France and Norway will have something to say about that of course'",b'willyo779',[],0
2019-06-26 15:05:45,b'@ClayTravis I care more about whether or not we win than what she thinks about the president. Everything outside of a World Cup victory is noise. If they win and she doesn\xe2\x80\x99t go it doesn\xe2\x80\x99t matter. She will be a world champion.',b'john_fostrr',[],183
2019-06-26 15:05:44,b'.\xf0\x9f\x8f\xb4\xf3\xa0\x81\xa7\xf3\xa0\x81\xa2\xf3\xa0\x81\xb3\xf3\xa0\x81\xa3\xf3\xa0\x81\xb4\xf3\xa0\x81\xbf @NetballScotland have revealed their World Cup \xf0\x9f\x91\x97\xf0\x9f\x91\x8f\xe2\xac\x87\xef\xb8\x8f #ThisIsNetball https://t.co/DbD2Xkrufm',b'NetballWorldCup',['ThisIsNetball'],63924
2019-06-26 15:05:43,b'So Fakhar Zaman came to play in the world cup or?',b'junaidmuhammadd',[],154859
2019-06-26 15:05:40,b'New tennis world number one @ashbar96 took a well-deserved break to watch the Australian cricket team triumph in their 64-run World Cup win over England. https://t.co/p24W2ZATe0 #TheLatest #7NEWS https://t.co/0pXkZj2Mls',b'7NewsSydney',"['TheLatest', '7NEWS']",310336
2019-06-26 15:05:40,"b""@DinoDRossi @sulfur_chesh @stevensandor I agree entirely but it's much more difficult draw a single line once everyone has a pencil.  I really, really hate what it has done to the game. Loved the days when a world cup final was played the same manner as a local men's league game. Same rules, same variables. I'm old ;)""",b'bill_ault',[],1124
2019-06-26 15:05:40,b'New tennis world number one @ashbar96 took a well-deserved break to watch the Australian cricket team triumph in their 64-run World Cup win over England. https://t.co/gTfaTGvOPp #TheLatest #7NEWS https://t.co/qqRDJde8Nk',b'7NewsPerth',"['TheLatest', '7NEWS']",76519
2019-06-26 15:05:40,b'New tennis world number one @ashbar96 took a well-deserved break to watch the Australian cricket team triumph in their 64-run World Cup win over England. https://t.co/t5TwxSPw0z #TheLatest #7NEWS https://t.co/eZ71sDJPM0',b'7NewsAdelaide',"['TheLatest', '7NEWS']",77482
2019-06-26 15:05:40,b'New tennis world number one @ashbar96 took a well-deserved break to watch the Australian cricket team triumph in their 64-run World Cup win over England. https://t.co/ZxaU7Mf6VN #TheLatest #7NEWS https://t.co/Zd3K5qBVLN',b'7NewsBrisbane',"['TheLatest', '7NEWS']",98850
2019-06-26 15:05:40,b'New tennis world number one @ashbar96 took a well-deserved break to watch the Australian cricket team triumph in their 64-run World Cup win over England. https://t.co/0b16rE1Qi3 #TheLatest #7NEWS https://t.co/NzVmU0iGGO',b'7NewsMelbourne',"['TheLatest', '7NEWS']",107673
2019-06-26 15:05:40,"b""It's not the first time professional athletes have turned down a visit to the White House.\xe2\x80\x8b https://t.co/N6vwbiRtqC""",b'WGNOtv',[],37278
2019-06-26 15:05:37,b'@ClayTravis When does the women\xe2\x80\x99s World Cup start?',b'shaunwheat',[],224
2019-06-26 15:05:34,b'With Authentic Basketball World cup Trophy  #fibawc \xf0\x9f\x8f\x80\xf0\x9f\x8f\x86 #china2019\xf0\x9f\x87\xa8\xf0\x9f\x87\xb3  #TunisiaGotGame \xf0\x9f\x87\xb9\xf0\x9f\x87\xb3\xf0\x9f\xa6\x85 https://t.co/Y2yWSx9AhC',b'RabiiBhouri',"['fibawc', 'china2019', 'TunisiaGotGame']",165
2019-06-26 15:05:30,b'@theblaze Maybe worry about winning the World Cup first before you start spouting off at the mouth.',b'The_SteveGizz',[],19
2019-06-26 15:05:30,b'Chalo phr world cup jeeto tum log ;) https://t.co/W3FQfIJhoN',b'iamAkifKhan',[],2585
2019-06-26 15:05:24,"b""On this episode of DTW @mihailmitov27 and @HDlights discuss the latest Women's World Cup results and preview the Quarter-Finals. Also football transfer rumours and the potential Lomachenko Campbell fight.  https://t.co/9x5vD29skF  #NEDJPN #WomensWorldCup2019 #Lukaku #Buffon #loma""",b'Dtwpodcast27',"['NEDJPN', 'WomensWorldCup2019', 'Lukaku', 'Buffon', 'loma']",11
2019-06-26 15:05:23,b'@sagarcasm Supporting New-Zealand today because if Pakistan wins the world cup their pathetic fans will compare Sarfaraz to Msd. Just remember how they behaved and reacted when they won CT17',b'rahulyu',[],202
2019-06-26 15:05:22,b'Attacking a female Soccer player who is about to go and play for her country in a 1/4 Final of the World Cup.. what an absolute C**T \xf0\x9f\xa4\xac\xf0\x9f\xa4\xac https://t.co/5zHMbgTSUb',b'clucko2011',[],691
2019-06-26 15:05:22,"b""India has never been to World Cup bcoz FIFA won't allow dem to sing nd dance for 20minutes after every goal. #just_beleive_so\xf0\x9f\x98\x8e""",b'alameen_daheeru',['just_beleive_so'],754
2019-06-26 15:05:15,b'\xe2\x80\x9983 the film celebrates 36 years of World Cup victory https://t.co/bFPJoV4riA',b'TheCineBlitz',[],8491
2019-06-26 15:05:11,b'Pakistan deserve to win the World Cup then england who Bottled it. Close call. England will won\xe2\x80\x99t get through the semis will they @BumbleCricket @Abdullah_Azfal @adilray . I don\xe2\x80\x99t hate Pakistan cricket team. England does really bad',b'chetanvanker',[],1352
