timestamp,tweet_text,username,all_hashtags,followers_count
2019-06-28 14:13:47,"b'SOA SALUTES DUDLEY JAZZ FESTIVAL 2019  &amp; @The Fred Woodard Collective   ^ ^ @Fred Woodard  and @John Kordaleski of @Makanda Project JOINED @Ahmad Abdulibad, every year ~ LISTEN TO 2017  https://t.co/1cGdoXYdpJ  BLACK in MEN!!! https://t.co/ActorfhEQy https://t.co/TPkpACzO1z'",b'SONSOFAFRIKA',[],497
2019-06-28 10:40:15,"b'#RockingTo ""@Cassidy Larsiny MMM Feat @Fred money"" by Unknown | #RealHiphopIsNowOnRadio #TheBionicShow #Africa10 #DownloadAndroidApp #OrderMerch'",b'RapRadioAfrica',"['RockingTo', 'RealHiphopIsNowOnRadio', 'TheBionicShow', 'Africa10', 'DownloadAndroidApp', 'OrderMerch']",743
2019-06-27 11:23:27,b'@fred can you use your magic and 13 listeners to spread the word? We need @GovPritzker to sign &amp; pass HB 423 the School Health Center Act ASAP! making it easier for school teachers and school counselors to get into the school system? Let the power of social media work! #hb0423',b'jessynusbaum',['hb0423'],112
2019-06-26 06:14:22,"b'#RockingTo ""@Cassidy Larsiny MMM Feat @Fred money"" by Unknown | #RealHiphopIsNowOnRadio #TheBionicShow #Africa10 #DownloadAndroidApp #OrderMerch'",b'RapRadioAfrica',"['RockingTo', 'RealHiphopIsNowOnRadio', 'TheBionicShow', 'Africa10', 'DownloadAndroidApp', 'OrderMerch']",743
2019-06-25 19:55:28,b'In Photo: The caretaker Chairman of Mafa LGA Of Borno State Has Commended The Gallant Troops Of 112 Battalion For Their Bravery And Gallantry Which Lead To The Subsequent Killings Of Boko Haram Terrorist.  \xc2\xa9 @HQNigerianArmy @SagirMusaDAPR @Fred https://t.co/SHJ3NTAp39',b'askirawa1',[],3598
2019-06-25 10:31:35,"b'#RockingTo ""@Cassidy Larsiny MMM Feat @Fred money"" by Unknown | #RealHiphopIsNowOnRadio #TheBionicShow #Africa10 #DownloadAndroidApp #OrderMerch'",b'RapRadioAfrica',"['RockingTo', 'RealHiphopIsNowOnRadio', 'TheBionicShow', 'Africa10', 'DownloadAndroidApp', 'OrderMerch']",743
2019-06-23 01:57:13,"b'Thank you to everyone who came out &amp; joined us tonight to watch the live @HoopTalksLive with @DGreen_14, @Fred VanVleet, @superfan_nav, @SmithRaps, @BlakeMurphyODC, @Paul__Jones and more!! WE HAD A BLAST!!! \xf0\x9f\x8f\x80\xf0\x9f\x94\xa5\xf0\x9f\x92\xaa\xf0\x9f\x8f\xbc https://t.co/78NRf2sjmA'",b'kelwright',[],1957
2019-06-22 14:37:44,b'5. @mechArOt @nattaliarivera @shanayaGFniseminar char @babies @fred @maramilikeMARAMI.                                6. @nattaliarivera @wricketrulf @andrealeis @cassieCHARsandyy @catrionagrayCHAR @Nexus_48 @patrickpante @11D @sirpedragoza @teacherss @sobrangdami @tinatorres',b'issakamoteoof',[],185
2019-06-21 21:22:23,"b'#RockingTo ""@Cassidy Larsiny MMM Feat @Fred money"" by Unknown | #RealHiphopIsNowOnRadio #TheBionicShow #Africa10 #DownloadAndroidApp #OrderMerch'",b'RapRadioAfrica',"['RockingTo', 'RealHiphopIsNowOnRadio', 'TheBionicShow', 'Africa10', 'DownloadAndroidApp', 'OrderMerch']",743
2019-06-21 19:00:10,"b'Where are our surfers and paddle board lovers at? Our #Outsider, Fred is one is them! \xe2\x80\xa2 \xe2\x80\xa2 \xe2\x80\xa2 \xe2\x80\xa2 \xf0\x9f\x93\xb7: @fred.muursepp https://t.co/5K9iuCQtnc'",b'outside_360',['Outsider'],25
2019-06-21 13:30:14,"b""Our client @Fred's Beds Mattress Clearance Center is giving away a luxury king-sized mattress to an active duty service member or a veteran of the U.S. military!  Click here to learn more: https://t.co/PXmbJJODpl https://t.co/bI0OrBpNLc""",b'MauldinGroup',[],3294
2019-06-21 10:23:51,"b'Head of Strategic Development @Fred Dassori moderates a panel with @TheFCA, @Bloomberg, @BNYMellon and @BarclaysIB about how to stay ahead of market changes and adapt to potential challenges as the industry prepares for the final phases of the #UnclearedMarginRules https://t.co/QgusgUXqYb'",b'AcadiaSoft_',['UnclearedMarginRules'],309
2019-06-20 13:55:10,"b'The 5th episode of the #DHBS hosted by the HC CEO @Fred Roed is titled \xe2\x80\x9cGrow Your Business\xe2\x80\x9d. Fred talks to the \xe2\x80\x9cEndeavor South Africa\xe2\x80\x9d Managing Director, Catherine Townshend about everything Entrepreneur related.  #business #startup #entrepreneur #grow  https://t.co/4Ezr6LxDJr https://t.co/oAnyRh4bfW'",b'heavychef',"['DHBS', 'business', 'startup', 'entrepreneur', 'grow']",6168
2019-06-20 13:27:26,b'@FredAndAngi @fred check iTunes for that title.',b'MikeGerth',[],31
2019-06-20 10:23:38,b'@_vmsc @ myself @fred',b'kmaedlg',[],344
