timestamp,tweet_text,username,all_hashtags,followers_count
2019-06-25 17:52:44,b'@rrfrancomano Speaking of cool did you know @NASA is launching Project Artemis',b'antdayum',[],21
2019-06-25 17:51:36,b'@NASA @NASAHubble Soccer is literally everywhere \xe2\x9a\xbd',b'Beatriz72088854',[],3
2019-06-25 17:51:34,"b'@JimBridenstine @AstroAnnimal @Astro_DavidS @Space_Station @NASA Hollywood from Rusia too, very good actors.'",b'Romuald93087369',[],0
2019-06-25 17:51:08,b'@NASA @NASAHubble Shaped like soccer balls....hmmmm....#SpaceForce #QAnon',b'imovershit',"['SpaceForce', 'QAnon']",904
2019-06-25 17:50:55,"b'@NASA @NASAHubble Space is nothing but just another cell, just inside another human being!\xf0\x9f\x98\x81\xf0\x9f\x91\xa8\xf0\x9f\x91\xa9\xf0\x9f\x94\xb4\xe2\x9a\xaa'",b'Jasongenders2',[],363
2019-06-25 17:50:43,b'the things im most ready to see @ AirVenture19 is @Cessna @united @GulfstreamAero @boeing @Airbus   @nasa @AtlasAirWW @DHLUS @F22DemoTeam @A10DemoTeam @uscoastguard',b'Air_radar_of_NE',[],648
2019-06-25 17:50:35,b'@SWFoundation @IridiumComm @NASA @JimBridenstine @CommerceGov @IridiumBoss @Virgin_Orbit why site didnt worked for a week? you got hacked?',b'QueBlanco_',[],17
2019-06-25 17:50:26,b'I quite like some designs and upcoming technology from @NASA and @SpaceX itself some of which looks quite impressive.',b'ImpWarfare',[],1934
2019-06-25 17:50:26,b'@MeeraVaithiya @NASA @UN Please give me a Nobel Prize for me',b'iamravanan',[],844
2019-06-25 17:50:03,b'@NASA marks milestones in development of electric X-57 https://t.co/c1I2RAdC7n https://t.co/aQTDgW2dLk',b'Space_Hubb',[],610
2019-06-25 17:50:00,b'@EFT_Seattle @NASA @NASASun @SpaceX @NASAKennedy Not familiar with the physics behind putting stuff in orbit huh?',b'TenaciousHN',[],1142
2019-06-25 17:49:51,"b'@JunkScience How does @NASA justify changing the recorded record of the past? I would expect some world-class, ""we got it wrong then, but trust us we\'re getting it right now"". To be fair, the temp anomaly is really hard to compute and should be taken with a pinch of salt.'",b'Albanus16180337',[],52
2019-06-25 17:49:49,b'I wish that when @NASA goes back to the Moon that the Moon base is permanent with people coming and going from the Moon and so on it would also be nice finally seeing a colony on Mars eventually hopefully in my lifetime.',b'ImpWarfare',[],1934
2019-06-25 17:49:34,b'Wow: @NASA @NASAJPL hacked because of an unauthorized #RaspberryPi connected to its network https://t.co/r8StMbcUsd https://t.co/1EqIRlBNOX',b'Stratamation',['RaspberryPi'],1377
2019-06-25 17:49:07,b'@StevenBetter @NASA @SpaceX @NASAKennedy Sure.',b'TenaciousHN',[],1142
2019-06-25 17:48:54,"b'@NASA @NASAHubble Reference: The ""Sun-Water Experiment."" (Diagram inclusive, ....).'",b'Natur99012514',[],0
2019-06-25 17:48:49,"b""I wonder what will happen when the Gateway space station is finally built by @NASA and other space agencies. It'll be interesting to see it fully completed if it does happen.""",b'ImpWarfare',[],1934
2019-06-25 17:48:00,"b'Testing of high strength fibers in vacuum chambers and then in space. They receive unfiltered UV, are bombarded by energetic electrons and are attacked by atomic oxygen. The fibers suffer more or less as a result. @nasa https://t.co/wliUtjIIJZ https://t.co/pQgR0IOoz5'",b'ToughSf',[],3222
2019-06-25 17:47:50,b'@nonotagrain @NASA @NASAHubble i wanna get to the pussyyyy',b'forzaxboxone',[],6
2019-06-25 17:47:31,b'@NASA @NASAHubble This is amazing. Kudos to everyone working hard behind discovering something new about the cosmos everyday.',b'niam_arefin',[],1
2019-06-25 17:47:16,b'@NASA @NASAHubble Maybe we are inside a giant organism.',b'nonotagrain',[],2
2019-06-25 17:46:51,b'@ArmySMDC @NASA @NASA_Astronauts @AstroAnnimal @Space_Station @USArmy Thank you for the post!',b'StormPhoton',[],86
2019-06-25 17:46:00,"b""@NASA @NASAHubble It's like #fullerence""",b'Prateesh_Shah',['fullerence'],393
2019-06-25 17:45:33,b'@NASA @NASAHubble Does this mean that there might be an alien race known as #Spaceballs ?',b'Actor_JRose',['Spaceballs'],117
2019-06-25 17:45:27,b'@NASA @NASAHubble Great!',b'twittinglizzy',[],17
2019-06-25 17:45:25,b'@NASA @NASAHubble Is that a buckyball?',b'c_mcguire1982',[],145
2019-06-25 17:44:57,b'@NASA @NASAHubble Our spaceships: https://t.co/IeqW688wTJ',b'kpop_scrub',[],5
2019-06-25 17:44:50,"b'@AstroAnnimal @Space_Station @NASA_Astronauts @NASA @NASA_Johnson Welcome Home\xf0\x9f\x9a\x80Love, Earth'",b'LamppLouise',[],15
