timestamp,tweet_text,username,all_hashtags,followers_count
2019-06-21 18:18:47,"b""@Sir_BiolaPr Not really a Hard decision to make \xf0\x9f\x98\x82 \xf0\x9f\x98\x82 1.For Tommy.. You'll only get his loyalty if ure so close to him or if you're fam. 2.For Sucre.. He's loyalty is immeasurable, That guy is Gold So I'll go for Sucre.. (Prison break is still my favorite show.. And Sucre is one of my faves)""",b'Blistzy_sheff',[],669
2019-06-21 18:18:45,"b'@Tommy_USA @PoliticsK12 Only the wealthy are making the donations. It isn\xe2\x80\x99t like the wealthy need a tax credit to do it. If they really want to provide the option to the non wealthy, they still can.'",b'SWS_EDU',[],1486
2019-06-21 18:18:38,"b""@tommy_pegasus After the first HOUR?? They'll never survive! \xf0\x9f\x98\x82""",b'HumbugToby',[],1052
2019-06-21 18:18:32,b'@cathyby @NielsOckelmann @SGTVance @CharlieHicks90 @BrexitGone @JTillx @LesterS65508129 @g123i1l @geor97 @BrunoTheBridge @ThatAndreCamara @El_Chele85 @MindedMusically @duggan_paul @The_Leaver @JonattonY @viv_cooper @dw2essex @MattGeeSymonds @JohnRya13591294 @rosebudorson @Miguelsapimp @FairyP0ckmother @Davidmetroland @Sir_Tommy_ @itsafrogslife @CharithRuckmal @dwcwinter @twvasi @Andywilds1 @Macid3000 @thegrimbarian @Ciolfilicious1 @bloo40 @BlackwaterRive2 @Charlie_uk45 @VeuveK @Homeless_Info @IanGianni @smithdsd11 @antartica81 @Wittgenstein016 @f505eb72b9cd493 @Kitchy2016 @SamScot11 @daniel_vutov @sunick51 @DannyKudos @FacesPics Why is it called an Act? Ah because it requires consent eg. jurisdiction to apply. Pay attention - Declaration of incompatibility` which arises when the HRA contravenes a fundamental Right protected by our primary law. https://t.co/VPEcAFNMtA',b'David_Vaporium',[],1795
2019-06-21 18:18:23,b'@_liampeelo Gerry cinnamon isn\xe2\x80\x99t a band',b'Tommy_crommy',[],76
2019-06-21 18:18:13,b'@TomiLahren You wanna offend Tommy Lauren ?   Don\xe2\x80\x99t do it @Twitter will ban you.   True story. I almost died.',b'kechupon',[],281
2019-06-21 18:18:02,b'@Chante_Cheeks You got a job? I thought you were Tommy from Martin',b'jackthejoekr',[],1303
2019-06-21 18:18:00,b'@leifby Tommy \xe2\x9d\xa4\xef\xb8\x8f',b'Tomaslag',[],599
2019-06-21 18:18:00,"b""@tommy_lufc Wouldn't worry, apparently going to Villa \xf0\x9f\x98\x89""",b'MedforthPaul',[],490
2019-06-21 18:17:49,b'@TommyNC2010 I\xe2\x80\x99m a master with Windows movie maker Tommy',b'lajuicekey',[],267
2019-06-21 18:17:41,"b'@badogblue @CountDankulaTV So, would you agree that the individual who threw a milkshake over Tommy Robinson had every reason to, if he felt threatened with the amount of people round him?'",b'JordanCarlin8',[],237
2019-06-21 18:17:33,b'@coneylove @Gizmodo no not in the US  you just cant sell it without a FFL',b'tommy_catkins',[],70
2019-06-21 18:17:31,b'Small hand drawn drop by nah__yo available now. Vintage Tommy Hilfiger Harrington jacket and 2 caps. Collection 2 with @topshelfpremium coming soon https://t.co/7Vw5jcIs1F',b'TheDecadesHatCo',[],1836
2019-06-21 18:17:26,b'@Serremmy @ravgo52 @AW95NJ @SLA1500 @EMastrro @hughglue @charbship @mitra9816 @unkiewood @EricSHarris7 @Godsgirl158 @1forEnglish1 @tommy_jmp2 @Kiki25755126 @CharlieD2749 @acutewinky12 @BlueStateSOS @goofballgeorge @GenePoolAward @JonMichaelOlsen @AlannaCaseyOMa1 Followed and Retweeted. Please follow back. Thank you.',b'hans_K48',[],1107
2019-06-21 18:17:16,b'@thelukelandry @KurtBale1010 It can\xe2\x80\x99t be somebody like Pete corvus or tommy I feel like it has to be someone from the original GTS like the BTO',b'Thomasg36348583',[],724
2019-06-21 18:17:16,"b'@realDonaldTrump \xe2\x80\x9cI cocked and loaded as much covfefe and hamberders as I could find, and looked for the smocking sights\xe2\x80\x9d'",b'tommy_purpura',[],115
2019-06-21 18:17:00,b'@iamthecampion No Person will tell me how to poop that is between Me and God',b'rubino_tommy',[],22
2019-06-21 18:16:58,b'Great result from Tommy and Nate. County green ball tennis champions 2019. @RHHeadmaster @RussellHouseSch #Wimbledon2019 https://t.co/02Gu4vigLr',b'RHSchoolSport',['Wimbledon2019'],103
2019-06-21 18:16:49,b'BREAKING Tommy Robinson Catches Journalist HIDING In Bushes Like A FLASHER https://t.co/Vcig4Lq1Ax via @YouTube',b'craigmclaren67',[],198
2019-06-21 18:16:48,"b'@chez1954 @tommyxtopher @Deemoney521 Yes, Tommy is disgusting.'",b'gingercaddy',[],967
2019-06-21 18:16:46,"b'@CharlieHicks90 @JohnRya13591294 @Roblev0 @JTillx @cathyby @Miguelsapimp @VeuveK @El_Chele85 @MindedMusically @itsafrogslife @CharithRuckmal @Davidmetroland @geor97 @IanGianni @David_Vaporium @BrunoTheBridge @Macid3000 @MattGeeSymonds @Andywilds1 @Sir_Tommy_ @twvasi @duggan_paul @NielsOckelmann @LesterS65508129 @ThatAndreCamara @SGTVance @BrexitGone @The_Leaver @JonattonY @g123i1l @viv_cooper @rosebudorson @FairyP0ckmother @dwcwinter @thegrimbarian @Ciolfilicious1 @bloo40 @BlackwaterRive2 @Charlie_uk45 @Homeless_Info @smithdsd11 @antartica81 @Wittgenstein016 @f505eb72b9cd493 @Kitchy2016 @SamScot11 @daniel_vutov @sunick51 @DannyKudos @TwitterSupport The big problem these days is that people get their pockets picked badly on the 1st of each month. If they carefully control the direct debits then life is a lot easier. I have friends who pay nearly 200 a month to Sky, and then complain about austerity making them poor \xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3'",b'dw2essex',[],1258
2019-06-21 18:16:40,"b""It may be due to Tommy Henry's slower pace but it seems like Kauffmann is rushing. His pitches look sharp though. #Goblue #CWS""",b'Harbaughwitdaba',"['Goblue', 'CWS']",37
2019-06-21 18:16:37,"b""FIND HIM! Tommy caught this stalker hiding in the bushes. He claims to be a journalist and not a jihadi. So he won't mind us publicising him like he tried to do to Tommy. https://t.co/NCnZlktuCX""",b'PurplePantherUK',[],321
2019-06-21 18:16:29,b'@JulieOwenMoylan Tommy and Esther (Brexit \xe2\x80\x98s Kylie and Jason )',b'mikefre60',[],55
2019-06-21 18:16:22,"b'@David_Vaporium @NielsOckelmann @SGTVance @CharlieHicks90 @BrexitGone @JTillx @LesterS65508129 @g123i1l @geor97 @BrunoTheBridge @ThatAndreCamara @El_Chele85 @MindedMusically @duggan_paul @The_Leaver @JonattonY @viv_cooper @dw2essex @MattGeeSymonds @JohnRya13591294 @rosebudorson @Miguelsapimp @FairyP0ckmother @Davidmetroland @Sir_Tommy_ @itsafrogslife @CharithRuckmal @dwcwinter @twvasi @Andywilds1 @Macid3000 @thegrimbarian @Ciolfilicious1 @bloo40 @BlackwaterRive2 @Charlie_uk45 @VeuveK @Homeless_Info @IanGianni @smithdsd11 @antartica81 @Wittgenstein016 @f505eb72b9cd493 @Kitchy2016 @SamScot11 @daniel_vutov @sunick51 @DannyKudos @FacesPics Or indeed, the US bill of rights (amendments 12-27 of the US Constitution)  https://t.co/85obE3X0YZ'",b'cathyby',[],4019
2019-06-21 18:16:21,b'@SWS_EDU @PoliticsK12 AKA only the wealthy get to have educational options',b'Tommy_USA',[],2653
2019-06-21 18:16:20,b'They demonized Tommy R. for speaking out about grooming gangs  Yet it continues... https://t.co/s4ZRgIQit0',b'WayWestGuy',[],19
2019-06-21 18:16:17,b'@BasedMarcos @PitchingNinja Tommy John incoming',b'rockierage117',[],1272
2019-06-21 18:16:15,"b'@tommy_lowell @MAGLARod @laura_jones1987 @SterlingOsprey You brighten mine. Thank you for saying that. This week especially,it meant so much.....what you tweeted to me. I love your responses too'",b'SurvivorKitty',[],934
2019-06-21 18:16:07,"b'@Jan_T_S @majornelson I loved Tommy,  just hate the green ranger did go away because of white ranger...'",b'hrbomber1414',[],851
2019-06-21 18:16:04,"b'@oneforsorrow87 The Israeli government gets what, 32 billion dollars of US taxpayers fun money every year. They can afford Katie and Tommy.'",b'dbooth3',[],1680
2019-06-21 18:16:03,"b'@CarmChristopher @TommyMcNam Where is the tweet where you break your phone Mrs. Bosh? Happy Birthday, Tommy!'",b'GoldyHawks',[],1457
2019-06-21 18:16:01,b'@itsJeffTiedrich @TomiLahren Its what tommy is good at - she knows how to knock down her strawmen',b'JustmeRobW',[],844
2019-06-21 18:15:48,"b""Now playing: 'Crimson and Clover' by 'Tommy James &amp; the Shondells'""",b'radio_inside',[],1046
2019-06-21 18:15:40,b'@cliffyboy1512 Sky sports main event tommy fury vs joe pasquali',b'Slater_A1',[],573
